항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,300,544,304,80,-210,,-362, 
  당기순이익(지배)＜당기＞,48.0,87.1,56.0,16.4,-42.6,, , 
  보통주수정평균발행주식수＜당기＞,"16,000,000","16,001,534","18,246,646","20,256,888","20,256,888","20,256,888", , 
  우선주수정평균발행주식수＜당기＞,0,"5,564","184,612","149,304",0,0, , 
펼치기 BPS,807,"1,327","3,554","3,635","3,422",,-6, 
  자본총계(지배)＜당기＞,129.1,215.3,726.5,736.3,693.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"16,000,000","16,040,000","20,256,888","20,256,888","20,256,888","20,256,888", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,"184,612","184,612",0,0,0, , 
펼치기 CPS,234,418,439,295,68,,-77, 
  영업활동현금흐름＜당기＞,37.4,67.0,80.9,60.3,13.7,, , 
  보통주수정평균발행주식수＜당기＞,"16,000,000","16,001,534","18,246,646","20,256,888","20,256,888","20,256,888", , 
  우선주수정평균발행주식수＜당기＞,0,"5,564","184,612","149,304",0,0, , 
펼치기 SPS,"1,281","1,895","1,409",555,354,,-36, 
  매출액＜당기＞,205.0,303.3,259.6,113.2,71.7,, , 
  보통주수정평균발행주식수＜당기＞,"16,000,000","16,001,534","18,246,646","20,256,888","20,256,888","20,256,888", , 
  우선주수정평균발행주식수＜당기＞,0,"5,564","184,612","149,304",0,0, , 
펼치기 PER,,,20.82,99.92,N/A,,-130.61, 
  보통주수정주가(기말)＜당기＞,,,"6,325","8,025","6,430","4,250", , 
  EPS＜당기＞,300,544,304,80,-210,, , 
펼치기 PBR,0.00,0.00,1.78,2.21,1.88,,-14.91, 
  보통주수정주가(기말)＜당기＞,,,"6,325","8,025","6,430","4,250", , 
  BPS＜당기＞,807,"1,327","3,554","3,635","3,422",, , 
펼치기 PCR,,,14.42,27.17,94.91,,249.26, 
  보통주수정주가(기말)＜당기＞,,,"6,325","8,025","6,430","4,250", , 
  CPS＜당기＞,234,418,439,295,68,, , 
펼치기 PSR,,,4.49,14.47,18.17,,25.54, 
  보통주수정주가(기말)＜당기＞,,,"6,325","8,025","6,430","4,250", , 
  SPS＜당기＞,"1,281","1,895","1,409",555,354,, , 
펼치기 EV/EBITDA,,,9.40,46.42,-267.16,,-675.47, 
  EV＜당기＞,,,849.6,"1,179.8",859.3,, , 
  EBITDA＜당기＞,69.6,120.8,90.4,25.4,-3.2,, , 
펼치기 DPS,31,50,50,,,, , 
  현금DPS,31,50,50,,,, , 
  주식DPS,0,0,0,,,, , 
  현금배당수익률,,,0.79,,,, , 
  현금배당성향(%),10.42,9.42,8.88,0.00,,, , 
