항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-58,55,114,-33,-150,,-357, 
  당기순이익(지배)＜당기＞,-18.9,20.3,42.2,-12.3,-59.0,, , 
  보통주수정평균발행주식수＜당기＞,"31,066,062","31,066,062","32,858,388","36,539,264","39,396,554","39,396,554", , 
  우선주수정평균발행주식수＜당기＞,"1,584,076","5,552,843","4,065,566","1,027,645",0,0, , 
펼치기 BPS,-31,54,266,726,656,,-10, 
  자본총계(지배)＜당기＞,-10.5,19.8,98.6,284.2,256.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"31,066,062","31,066,062","34,602,271","39,134,715","39,134,715","39,134,715", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"3,125,381","5,649,664","2,524,283",0,0,0, , 
펼치기 CPS,-104,40,66,-163,-217,,-33, 
  영업활동현금흐름＜당기＞,-34.0,14.6,24.5,-61.1,-85.6,, , 
  보통주수정평균발행주식수＜당기＞,"31,066,062","31,066,062","32,858,388","36,539,264","39,396,554","39,396,554", , 
  우선주수정평균발행주식수＜당기＞,"1,584,076","5,552,843","4,065,566","1,027,645",0,0, , 
펼치기 SPS,"1,578","1,365","2,038","1,753","1,601",,-9, 
  매출액＜당기＞,515.3,500.0,752.4,658.7,630.8,, , 
  보통주수정평균발행주식수＜당기＞,"31,066,062","31,066,062","32,858,388","36,539,264","39,396,554","39,396,554", , 
  우선주수정평균발행주식수＜당기＞,"1,584,076","5,552,843","4,065,566","1,027,645",0,0, , 
펼치기 PER,,,,N/A,N/A,,78.35, 
  보통주수정주가(기말)＜당기＞,,,,"4,285","4,240","3,080", , 
  EPS＜당기＞,-58,55,114,-33,-150,, , 
펼치기 PBR,,,,5.90,6.47,,9.57, 
  보통주수정주가(기말)＜당기＞,,,,"4,285","4,240","3,080", , 
  BPS＜당기＞,-31,54,266,726,656,, , 
펼치기 PCR,,,,-26.33,-19.52,,25.85, 
  보통주수정주가(기말)＜당기＞,,,,"4,285","4,240","3,080", , 
  CPS＜당기＞,-104,40,66,-163,-217,, , 
펼치기 PSR,,,,2.44,2.65,,8.35, 
  보통주수정주가(기말)＜당기＞,,,,"4,285","4,240","3,080", , 
  SPS＜당기＞,"1,578","1,365","2,038","1,753","1,601",, , 
펼치기 EV/EBITDA,,,,45.78,-28.29,,-161.79, 
  EV＜당기＞,,,,"1,829.0","1,878.0",, , 
  EBITDA＜당기＞,0.1,21.8,69.5,39.9,-66.4,, , 
펼치기 DPS,0,0,0,,,, , 
  현금DPS,0,0,0,,,, , 
  주식DPS,0,0,0,,,, , 
  현금배당수익률,0.00,0.00,0.00,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
