항목,2017/12,2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,051","1,127","1,319","1,759","2,205",,25, 
  당기순이익(지배)＜당기＞,224.8,241.3,282.3,376.4,471.9,, , 
  보통주수정평균발행주식수＜당기＞,"21,400,000","21,400,000","21,400,000","21,400,000","21,400,000","21,400,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"15,806","16,529","17,642","19,879","22,186",,12, 
  자본총계(지배)＜당기＞,"3,382.6","3,537.1","3,775.4","4,005.5","4,425.0",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"21,400,000","21,400,000","21,400,000","20,149,023","19,945,436","19,945,436", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"4,792","-1,167","4,380","9,864","-5,164",,-152, 
  영업활동현금흐름＜당기＞,"1,025.5",-249.7,937.3,"2,110.9","-1,105.1",, , 
  보통주수정평균발행주식수＜당기＞,"21,400,000","21,400,000","21,400,000","21,400,000","21,400,000","21,400,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"61,982","49,702","76,753","51,477","63,737",,24, 
  매출액＜당기＞,"13,264.2","10,636.3","16,425.2","11,016.1","13,639.7",, , 
  보통주수정평균발행주식수＜당기＞,"21,400,000","21,400,000","21,400,000","21,400,000","21,400,000","21,400,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,7.74,6.27,4.93,4.92,3.71,,-24.56, 
  보통주수정주가(기말)＜당기＞,"8,130","7,070","6,500","8,660","8,190","8,700", , 
  EPS＜당기＞,"1,051","1,127","1,319","1,759","2,205",, , 
펼치기 PBR,0.51,0.43,0.37,0.44,0.37,,-15.26, 
  보통주수정주가(기말)＜당기＞,"8,130","7,070","6,500","8,660","8,190","8,700", , 
  BPS＜당기＞,"15,806","16,529","17,642","19,879","22,186",, , 
펼치기 PCR,1.70,-6.06,1.48,0.88,-1.59,,-280.65, 
  보통주수정주가(기말)＜당기＞,"8,130","7,070","6,500","8,660","8,190","8,700", , 
  CPS＜당기＞,"4,792","-1,167","4,380","9,864","-5,164",, , 
펼치기 PSR,0.13,0.14,0.08,0.17,0.13,,-23.62, 
  보통주수정주가(기말)＜당기＞,"8,130","7,070","6,500","8,660","8,190","8,700", , 
  SPS＜당기＞,"61,982","49,702","76,753","51,477","63,737",, , 
펼치기 EV/EBITDA,1.85,2.81,0.87,0.16,2.93,,"1,687.40", 
  EV＜당기＞,"1,367.3","1,388.0",535.8,94.2,"1,051.3",, , 
  EBITDA＜당기＞,737.5,493.2,614.2,574.2,358.7,, , 
펼치기 DPS,130,130,150,180,180,,0, 
  현금DPS,130,130,150,180,180,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,1.60,1.84,2.31,2.08,2.20,,0.12, 
  현금배당성향(%),12.37,11.53,11.37,9.64,7.61,,-2.03, 
