항목,"2017/12
(GAAP개별)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,224,364,836,"-1,751",-219,,87, 
  당기순이익(지배)＜당기＞,21.9,35.5,84.9,-185.4,-27.8,, , 
  보통주수정평균발행주식수＜당기＞,"9,764,617","9,764,617","10,155,201","10,586,650","12,662,272","12,662,272", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,304","2,740","3,614","4,108","4,068",,-1, 
  자본총계(지배)＜당기＞,225.0,267.5,370.5,512.0,507.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"9,764,617","9,764,617","10,252,847","12,463,372","12,463,372","12,463,372", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,629,671,989,987,-91,,-109, 
  영업활동현금흐름＜당기＞,61.4,65.5,100.4,104.5,-11.5,, , 
  보통주수정평균발행주식수＜당기＞,"9,764,617","9,764,617","10,155,201","10,586,650","12,662,272","12,662,272", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"4,369","5,256","6,123","4,623","6,026",,30, 
  매출액＜당기＞,426.7,513.3,621.8,489.4,763.1,, , 
  보통주수정평균발행주식수＜당기＞,"9,764,617","9,764,617","10,155,201","10,586,650","12,662,272","12,662,272", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,N/A,N/A,,-422.23, 
  보통주수정주가(기말)＜당기＞,,,,"27,134","17,750","18,100", , 
  EPS＜당기＞,224,364,836,"-1,751",-219,, , 
펼치기 PBR,0.00,0.00,0.00,6.61,4.36,,-33.94, 
  보통주수정주가(기말)＜당기＞,,,,"27,134","17,750","18,100", , 
  BPS＜당기＞,"2,304","2,740","3,614","4,108","4,068",, , 
펼치기 PCR,,,,27.49,-194.63,,-808.12, 
  보통주수정주가(기말)＜당기＞,,,,"27,134","17,750","18,100", , 
  CPS＜당기＞,629,671,989,987,-91,, , 
펼치기 PSR,,,,5.87,2.95,,-49.82, 
  보통주수정주가(기말)＜당기＞,,,,"27,134","17,750","18,100", , 
  SPS＜당기＞,"4,369","5,256","6,123","4,623","6,026",, , 
펼치기 EV/EBITDA,,,,77.87,29.46,,-62.16, 
  EV＜당기＞,,,,"3,372.9","2,265.5",, , 
  EBITDA＜당기＞,50.8,86.0,124.7,43.3,76.9,, , 
펼치기 DPS,0,0,0,0,100,, , 
  현금DPS,0,0,0,0,100,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,,0.00,0.56,,0.56, 
  현금배당성향(%),0.00,0.00,0.00,0.00,-44.87,,-44.87, 
