항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,745,772,986,-389,-587,,-51, 
  당기순이익(지배)＜당기＞,45.9,62.5,84.3,-40.3,-61.8,, , 
  보통주수정평균발행주식수＜당기＞,"6,139,640","8,094,200","8,555,666","10,348,260","10,514,147","10,554,156", , 
  우선주수정평균발행주식수＜당기＞,"27,038",0,0,0,0,, , 
펼치기 BPS,"2,426","3,194","6,090","5,470","5,003",,-9, 
  자본총계(지배)＜당기＞,196.4,258.5,627.8,574.2,519.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"8,094,200","8,094,200","10,308,756","10,497,456","10,386,306","10,386,306", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,866,766,548,42,-445,,"-1,164", 
  영업활동현금흐름＜당기＞,53.4,62.0,46.9,4.3,-46.8,, , 
  보통주수정평균발행주식수＜당기＞,"6,139,640","8,094,200","8,555,666","10,348,260","10,514,147","10,554,156", , 
  우선주수정평균발행주식수＜당기＞,"27,038",0,0,0,0,, , 
펼치기 SPS,"3,092","2,689","3,597","1,454","1,879",,29, 
  매출액＜당기＞,190.7,217.6,307.7,150.4,197.5,, , 
  보통주수정평균발행주식수＜당기＞,"6,139,640","8,094,200","8,555,666","10,348,260","10,514,147","10,554,156", , 
  우선주수정평균발행주식수＜당기＞,"27,038",0,0,0,0,, , 
펼치기 PER,,,18.87,N/A,N/A,,45.84, 
  보통주수정주가(기말)＜당기＞,,,"18,600","22,700","18,550","12,200", , 
  EPS＜당기＞,745,772,986,-389,-587,, , 
펼치기 PBR,0.00,0.00,3.05,4.15,3.71,,-10.66, 
  보통주수정주가(기말)＜당기＞,,,"18,600","22,700","18,550","12,200", , 
  BPS＜당기＞,"2,426","3,194","6,090","5,470","5,003",, , 
펼치기 PCR,,,33.96,542.26,-41.64,,-107.68, 
  보통주수정주가(기말)＜당기＞,,,"18,600","22,700","18,550","12,200", , 
  CPS＜당기＞,866,766,548,42,-445,, , 
펼치기 PSR,,,5.17,15.62,9.87,,-36.77, 
  보통주수정주가(기말)＜당기＞,,,"18,600","22,700","18,550","12,200", , 
  SPS＜당기＞,"3,092","2,689","3,597","1,454","1,879",, , 
펼치기 EV/EBITDA,,,16.48,-45.45,-24.73,,45.58, 
  EV＜당기＞,,,"1,380.9","1,866.2","1,534.3",, , 
  EBITDA＜당기＞,51.5,57.4,83.8,-41.1,-62.0,, , 
펼치기 DPS,0,0,150,100,,, , 
  현금DPS,0,0,150,100,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,0.81,0.44,,, , 
  현금배당성향(%),0.00,0.00,18.33,-26.06,,, , 
