항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-572,-481,-313,-435,-619,,-42, 
  당기순이익(지배)＜당기＞,-97.3,-86.9,-57.5,-82.0,-154.9,, , 
  보통주수정평균발행주식수＜당기＞,"17,009,211","18,080,822","18,366,395","18,521,407","22,605,374","40,888,107", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,"315,259","2,409,554",0, , 
펼치기 BPS,"1,263",986,674,320,"1,339",,318, 
  자본총계(지배)＜당기＞,215.1,181.0,123.7,71.0,487.1,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"17,033,920","18,366,398","18,366,398","19,627,156","36,378,495","41,336,352", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,"2,564,103",0,0, , 
펼치기 CPS,-310,-492,-86,-108,-190,,-76, 
  영업활동현금흐름＜당기＞,-52.7,-89.0,-15.8,-20.3,-47.6,, , 
  보통주수정평균발행주식수＜당기＞,"17,009,211","18,080,822","18,366,395","18,521,407","22,605,374","40,888,107", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,"315,259","2,409,554",0, , 
펼치기 SPS,445,353,331,201,252,,26, 
  매출액＜당기＞,75.7,63.7,60.8,37.8,63.0,, , 
  보통주수정평균발행주식수＜당기＞,"17,009,211","18,080,822","18,366,395","18,521,407","22,605,374","40,888,107", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,"315,259","2,409,554",0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,-14.56, 
  보통주수정주가(기말)＜당기＞,"3,863","3,084","2,593","2,257","3,680","2,040", , 
  EPS＜당기＞,-572,-481,-313,-435,-619,, , 
펼치기 PBR,3.06,3.13,3.85,7.05,2.75,,-61.03, 
  보통주수정주가(기말)＜당기＞,"3,863","3,084","2,593","2,257","3,680","2,040", , 
  BPS＜당기＞,"1,263",986,674,320,"1,339",, , 
펼치기 PCR,-12.46,-6.27,-30.18,-20.89,-19.34,,7.44, 
  보통주수정주가(기말)＜당기＞,"3,863","3,084","2,593","2,257","3,680","2,040", , 
  CPS＜당기＞,-310,-492,-86,-108,-190,, , 
펼치기 PSR,8.68,8.75,7.83,11.25,14.62,,29.89, 
  보통주수정주가(기말)＜당기＞,"3,863","3,084","2,593","2,257","3,680","2,040", , 
  SPS＜당기＞,445,353,331,201,252,, , 
펼치기 EV/EBITDA,-29.69,-9.04,-13.57,-18.80,-37.00,,-96.83, 
  EV＜당기＞,892.2,451.1,406.1,453.6,992.2,, , 
  EBITDA＜당기＞,-30.1,-49.9,-29.9,-24.1,-26.8,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
