항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,243,142,"-1,240",-249,-167,,33, 
  당기순이익(지배)＜당기＞,42.8,25.0,-218.2,-50.7,-50.0,, , 
  보통주수정평균발행주식수＜당기＞,"17,600,341","17,600,341","17,600,341","20,369,344","29,865,046","49,917,124", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,469","1,611",362,447,601,,35, 
  자본총계(지배)＜당기＞,258.5,283.5,63.8,124.8,195.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"17,600,341","17,600,341","17,600,341","27,922,908","32,587,795","56,693,587", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,119,139,9,-38,41,,208, 
  영업활동현금흐름＜당기＞,21.0,24.4,1.5,-7.7,12.2,, , 
  보통주수정평균발행주식수＜당기＞,"17,600,341","17,600,341","17,600,341","20,369,344","29,865,046","49,917,124", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,988","2,214","2,532","2,577","1,760",,-32, 
  매출액＜당기＞,349.8,389.7,445.7,524.9,525.7,, , 
  보통주수정평균발행주식수＜당기＞,"17,600,341","17,600,341","17,600,341","20,369,344","29,865,046","49,917,124", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,19.53,41.77,N/A,N/A,N/A,,-187.82, 
  보통주수정주가(기말)＜당기＞,"4,750","5,940","4,365","1,205","2,335","1,720", , 
  EPS＜당기＞,243,142,"-1,240",-249,-167,, , 
펼치기 PBR,3.23,3.69,12.04,2.70,3.88,,44.05, 
  보통주수정주가(기말)＜당기＞,"4,750","5,940","4,365","1,205","2,335","1,720", , 
  BPS＜당기＞,"1,469","1,611",362,447,601,, , 
펼치기 PCR,39.87,42.85,508.37,-31.92,57.21,,279.20, 
  보통주수정주가(기말)＜당기＞,"4,750","5,940","4,365","1,205","2,335","1,720", , 
  CPS＜당기＞,119,139,9,-38,41,, , 
펼치기 PSR,2.39,2.68,1.72,0.47,1.33,,183.68, 
  보통주수정주가(기말)＜당기＞,"4,750","5,940","4,365","1,205","2,335","1,720", , 
  SPS＜당기＞,"1,988","2,214","2,532","2,577","1,760",, , 
펼치기 EV/EBITDA,39.88,46.79,179.35,59.04,-47.85,,-181.04, 
  EV＜당기＞,655.8,851.3,866.3,294.7,647.3,, , 
  EBITDA＜당기＞,16.4,18.2,4.8,5.0,-13.5,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
