항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-440,-132,-105,-111,-0,,100, 
  당기순이익(지배)＜당기＞,-264.9,-79.5,-67.0,-96.6,-0.2,, , 
  보통주수정평균발행주식수＜당기＞,"60,193,222","60,208,564","63,892,909","87,380,622","121,721,116","124,422,450", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,415,285,278,289,304,,5, 
  자본총계(지배)＜당기＞,249.8,173.9,219.1,346.6,376.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"60,124,831","60,985,748","78,745,951","119,993,321","123,764,318","123,764,318", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-123,16,-40,-43,-13,,71, 
  영업활동현금흐름＜당기＞,-74.0,9.7,-25.3,-37.7,-15.3,, , 
  보통주수정평균발행주식수＜당기＞,"60,193,222","60,208,564","63,892,909","87,380,622","121,721,116","124,422,450", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,255,419,403,391,501,,28, 
  매출액＜당기＞,153.6,252.2,257.5,341.5,610.0,, , 
  보통주수정평균발행주식수＜당기＞,"60,193,222","60,208,564","63,892,909","87,380,622","121,721,116","124,422,450", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,"-43,347.24", 
  보통주수정주가(기말)＜당기＞,"1,070",597,954,637,509,600, , 
  EPS＜당기＞,-440,-132,-105,-111,-0,, , 
펼치기 PBR,2.58,2.09,3.43,2.21,1.67,,-24.11, 
  보통주수정주가(기말)＜당기＞,"1,070",597,954,637,509,600, , 
  BPS＜당기＞,415,285,278,289,304,, , 
펼치기 PCR,-8.70,37.07,-24.05,-14.76,-40.48,,-174.34, 
  보통주수정주가(기말)＜당기＞,"1,070",597,954,637,509,600, , 
  CPS＜당기＞,-123,16,-40,-43,-13,, , 
펼치기 PSR,4.19,1.43,2.37,1.63,1.02,,-37.69, 
  보통주수정주가(기말)＜당기＞,"1,070",597,954,637,509,600, , 
  SPS＜당기＞,255,419,403,391,501,, , 
펼치기 EV/EBITDA,-21.92,-197.34,38.74,37.20,19.46,,-47.69, 
  EV＜당기＞,837.9,514.1,843.3,806.5,776.8,, , 
  EBITDA＜당기＞,-38.2,-2.6,21.8,21.7,39.9,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
