항목,2017/12,2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-422,-312,20,-44,-167,,-275, 
  당기순이익(지배)＜당기＞,-101.9,-160.0,31.7,-32.7,-132.6,, , 
  보통주수정평균발행주식수＜당기＞,"24,170,290","51,262,675","70,294,335","73,616,963","79,572,062","103,862,762", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,498,487,536,518,392,,-24, 
  자본총계(지배)＜당기＞,229.7,337.8,381.7,392.6,316.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"46,121,705","69,359,730","71,203,510","75,835,709","80,899,733","127,196,029", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-188,-73,-53,106,-27,,-126, 
  영업활동현금흐름＜당기＞,-45.4,-37.6,-37.3,77.8,-21.7,, , 
  보통주수정평균발행주식수＜당기＞,"24,170,290","51,262,675","70,294,335","73,616,963","79,572,062","103,862,762", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,499,376,342,345,225,,-35, 
  매출액＜당기＞,120.7,192.8,240.5,253.8,179.1,, , 
  보통주수정평균발행주식수＜당기＞,"24,170,290","51,262,675","70,294,335","73,616,963","79,572,062","103,862,762", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,95.83,N/A,N/A,,74.70, 
  보통주수정주가(기말)＜당기＞,"1,238","1,336","1,910","1,370","1,300","1,210", , 
  EPS＜당기＞,-422,-312,20,-44,-167,, , 
펼치기 PBR,2.49,2.74,3.56,2.65,3.32,,25.43, 
  보통주수정주가(기말)＜당기＞,"1,238","1,336","1,910","1,370","1,300","1,210", , 
  BPS＜당기＞,498,487,536,518,392,, , 
펼치기 PCR,-6.59,-18.21,-35.95,12.96,-47.70,,-468.14, 
  보통주수정주가(기말)＜당기＞,"1,238","1,336","1,910","1,370","1,300","1,210", , 
  CPS＜당기＞,-188,-73,-53,106,-27,, , 
펼치기 PSR,2.48,3.55,5.58,3.97,5.78,,45.31, 
  보통주수정주가(기말)＜당기＞,"1,238","1,336","1,910","1,370","1,300","1,210", , 
  SPS＜당기＞,499,376,342,345,225,, , 
펼치기 EV/EBITDA,-10.05,-17.41,61.27,51.58,-27.27,,-152.86, 
  EV＜당기＞,349.0,707.7,"1,329.9",992.0,932.5,, , 
  EBITDA＜당기＞,-34.7,-40.6,21.7,19.2,-34.2,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,0.00,,0.00, 
