항목,,,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,-74,-6,,93, 
  당기순이익(지배)＜당기＞,,,,-0.2,-0.3,, , 
  보통주수정평균발행주식수＜당기＞,,,,"312,049","6,267,534","101,769,718", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 BPS,,,,"1,082","1,857",,72, 
  자본총계(지배)＜당기＞,,,,8.8,126.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,0,"810,000","6,810,000","158,828,847", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,0,0,0,0, , 
펼치기 CPS,,,,-41,-9,,78, 
  영업활동현금흐름＜당기＞,,,,-0.1,-0.6,, , 
  보통주수정평균발행주식수＜당기＞,,,,"312,049","6,267,534","101,769,718", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 SPS,,,,0,0,, , 
  매출액＜당기＞,,,,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,"312,049","6,267,534","101,769,718", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,810","2,810", , 
  EPS＜당기＞,,,,-74,-6,, , 
펼치기 PBR,,,,0.00,1.51,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,810","2,810", , 
  BPS＜당기＞,,,,"1,082","1,857",, , 
펼치기 PCR,,,,,-310.67,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,810","2,810", , 
  CPS＜당기＞,,,,-41,-9,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,810","2,810", , 
  SPS＜당기＞,,,,0,0,, , 
펼치기 EV/EBITDA,,,,,-266.45,, , 
  EV＜당기＞,,,,,185.1,, , 
  EBITDA＜당기＞,,,,-0.2,-0.7,, , 
펼치기 DPS,,,,0,,, , 
  현금DPS,,,,0,,, , 
  주식DPS,,,,0,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,0.00,,, , 
