항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,418,"1,381","2,030",261,572,"1,815",119,217
  당기순이익(지배)＜당기＞,22.4,103.4,171.3,25.5,55.8,177.0, , 
  보통주수정평균발행주식수＜당기＞,"5,376,280","7,485,770","8,440,212","9,750,373","9,750,373","9,750,373", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,443","2,822","10,821","10,530","11,045","12,758",5,16
  자본총계(지배)＜당기＞,108.0,211.2,"1,034.1",994.2,"1,044.0","1,206.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"7,485,770","7,485,771","9,555,775","9,441,139","9,452,853","9,452,852", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,676,-397,995,491,-20,"2,585",-104,"13,163"
  영업활동현금흐름＜당기＞,36.3,-29.7,83.9,47.9,-1.9,-57.0, , 
  보통주수정평균발행주식수＜당기＞,"5,376,280","7,485,770","8,440,212","9,750,373","9,750,373","9,750,373", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"7,264","10,264","10,794","4,652","10,907","20,850",134,91
  매출액＜당기＞,390.6,768.3,911.0,453.5,"1,063.5","2,033.0", , 
  보통주수정평균발행주식수＜당기＞,"5,376,280","7,485,770","8,440,212","9,750,373","9,750,373","9,750,373", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,11.76,87.67,54.43,16.72,-37.91,-69.29
  보통주수정주가(기말)＜당기＞,,,"23,878","22,890","31,150","30,350", , 
  EPS＜당기＞,418,"1,381","2,030",261,572,"1,815", , 
펼치기 PBR,0.00,0.00,2.21,2.17,2.82,2.38,29.74,-15.65
  보통주수정주가(기말)＜당기＞,,,"23,878","22,890","31,150","30,350", , 
  BPS＜당기＞,"1,443","2,822","10,821","10,530","11,045","12,758", , 
펼치기 PCR,,,24.01,46.59,"-1,574.37",11.74,"-3,479.32",100.75
  보통주수정주가(기말)＜당기＞,,,"23,878","22,890","31,150","30,350", , 
  CPS＜당기＞,676,-397,995,491,-20,"2,585", , 
펼치기 PSR,,,2.21,4.92,2.86,1.46,-41.97,-49.03
  보통주수정주가(기말)＜당기＞,,,"23,878","22,890","31,150","30,350", , 
  SPS＜당기＞,"7,264","10,264","10,794","4,652","10,907","20,850", , 
펼치기 EV/EBITDA,,,8.57,132.31,33.07,10.66,-75.01,-67.76
  EV＜당기＞,,,"1,831.8","1,875.0","2,866.0","2,910.2", , 
  EBITDA＜당기＞,35.3,108.3,213.9,14.2,86.7,273.0, , 
펼치기 DPS,23,47,447,202,112,,-45, 
  현금DPS,23,47,440,190,97,, , 
  주식DPS,0,0,7,12,15,, , 
  현금배당수익률,,,1.84,0.83,0.31,0.33,-0.52,0.02
  현금배당성향(%),7.80,3.39,24.48,70.25,16.45,5.51,-53.80,-10.94
