항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"-1,874",563,"-1,244",259,"2,028","2,095",683,3
  당기순이익(지배)＜당기＞,-186.5,49.7,-109.0,22.3,174.7,228.0, , 
  보통주수정평균발행주식수＜당기＞,"9,950,733","8,819,880","8,761,241","8,614,080","8,614,080","10,885,233", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"5,852","6,270","5,152","5,331","7,264",,36, 
  자본총계(지배)＜당기＞,516.1,553.0,443.8,459.2,625.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"8,819,880","8,819,880","8,614,080","8,614,080","8,614,080","11,059,422", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,587,544,"-1,615","1,184","2,756",,133, 
  영업활동현금흐름＜당기＞,58.4,48.0,-141.5,102.0,237.4,, , 
  보통주수정평균발행주식수＜당기＞,"9,950,733","8,819,880","8,761,241","8,614,080","8,614,080","10,885,233", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"9,629","10,792","4,909","9,613","15,690","14,699",63,-6
  매출액＜당기＞,958.2,951.9,430.1,828.0,"1,351.5","1,600.0", , 
  보통주수정평균발행주식수＜당기＞,"9,950,733","8,819,880","8,761,241","8,614,080","8,614,080","10,885,233", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,,,5.13, , 
  보통주수정주가(기말)＜당기＞,,,,,,"10,750", , 
  EPS＜당기＞,"-1,874",563,"-1,244",259,"2,028","2,095", , 
펼치기 PBR,0.00,0.00,0.00,0.00,0.00,, , 
  보통주수정주가(기말)＜당기＞,,,,,,"10,750", , 
  BPS＜당기＞,"5,852","6,270","5,152","5,331","7,264",, , 
펼치기 PCR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,,"10,750", , 
  CPS＜당기＞,587,544,"-1,615","1,184","2,756",, , 
펼치기 PSR,,,,,,0.73, , 
  보통주수정주가(기말)＜당기＞,,,,,,"10,750", , 
  SPS＜당기＞,"9,629","10,792","4,909","9,613","15,690","14,699", , 
펼치기 EV/EBITDA,,,,,,, , 
  EV＜당기＞,,,,,,, , 
  EBITDA＜당기＞,98.1,100.6,-78.1,80.9,255.0,, , 
펼치기 DPS,0,0,0,100,400,,300, 
  현금DPS,0,0,0,100,400,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,37.59,19.21,,-18.38, 
