항목,,,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,-17,-2,,90, 
  당기순이익(지배)＜당기＞,,,,-0.4,-0.1,, , 
  보통주수정평균발행주식수＜당기＞,,,,"2,629,563","5,170,000","19,199,819", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 BPS,,,,"1,911","1,910",,-0, 
  자본총계(지배)＜당기＞,,,,98.8,98.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,0,"5,170,000","5,170,000","55,374,745", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,0,0,0,0, , 
펼치기 CPS,,,,-17,-3,,84, 
  영업활동현금흐름＜당기＞,,,,-0.5,-0.1,, , 
  보통주수정평균발행주식수＜당기＞,,,,"2,629,563","5,170,000","19,199,819", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 SPS,,,,0,0,, , 
  매출액＜당기＞,,,,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,"2,629,563","5,170,000","19,199,819", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 PER,,,,N/A,N/A,,-892.00, 
  보통주수정주가(기말)＜당기＞,,,,"2,095","2,130","2,375", , 
  EPS＜당기＞,,,,-17,-2,, , 
펼치기 PBR,,,,1.10,1.12,,1.76, 
  보통주수정주가(기말)＜당기＞,,,,"2,095","2,130","2,375", , 
  BPS＜당기＞,,,,"1,911","1,910",, , 
펼치기 PCR,,,,-120.89,-780.38,,-545.52, 
  보통주수정주가(기말)＜당기＞,,,,"2,095","2,130","2,375", , 
  CPS＜당기＞,,,,-17,-3,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,"2,095","2,130","2,375", , 
  SPS＜당기＞,,,,0,0,, , 
펼치기 EV/EBITDA,,,,-214.22,-263.05,,-22.79, 
  EV＜당기＞,,,,104.6,107.2,, , 
  EBITDA＜당기＞,,,,-0.5,-0.4,, , 
펼치기 DPS,,,,0,0,, , 
  현금DPS,,,,0,0,, , 
  주식DPS,,,,0,0,, , 
  현금배당수익률,,,,0.00,0.00,,0.00, 
  현금배당성향(%),,,,0.00,,, , 
