항목,,,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,-182,-48,,74, 
  당기순이익(지배)＜당기＞,,,,-0.3,-2.1,, , 
  보통주수정평균발행주식수＜당기＞,,,,"172,814","4,254,110","4,550,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 BPS,,,,"1,527","1,896",,24, 
  자본총계(지배)＜당기＞,,,,8.4,86.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,0,"550,000","4,550,000","4,550,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,0,0,0,0, , 
펼치기 CPS,,,,-112,-57,,49, 
  영업활동현금흐름＜당기＞,,,,-0.2,-2.4,, , 
  보통주수정평균발행주식수＜당기＞,,,,"172,814","4,254,110","4,550,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 SPS,,,,0,0,, , 
  매출액＜당기＞,,,,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,"172,814","4,254,110","4,550,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,080","2,185", , 
  EPS＜당기＞,,,,-182,-48,, , 
펼치기 PBR,,,,0.00,1.10,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,080","2,185", , 
  BPS＜당기＞,,,,"1,527","1,896",, , 
펼치기 PCR,,,,0.00,-36.36,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,080","2,185", , 
  CPS＜당기＞,,,,-112,-57,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,080","2,185", , 
  SPS＜당기＞,,,,0,0,, , 
펼치기 EV/EBITDA,,,,,-35.13,, , 
  EV＜당기＞,,,,,88.7,, , 
  EBITDA＜당기＞,,,,-0.2,-2.5,, , 
펼치기 DPS,,,,0,,, , 
  현금DPS,,,,0,,, , 
  주식DPS,,,,0,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,0.00,,, , 
