항목,2017/12,2018/12,2019/12,2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,184,145,222,48,88,, , 
  당기순이익(지배)＜당기＞,95.3,75.1,115.2,25.1,45.8,, , 
  보통주수정평균발행주식수＜당기＞,"51,794,579","51,794,579","51,794,579","51,794,579","51,794,579","51,794,579", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,234","1,383","1,603","1,655","1,740",, , 
  자본총계(지배)＜당기＞,639.3,716.5,830.2,857.2,901.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"51,794,579","51,794,579","51,794,579","51,794,579","51,794,579",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,203,264,296,210,87,, , 
  영업활동현금흐름＜당기＞,105.3,136.9,153.1,108.5,45.0,, , 
  보통주수정평균발행주식수＜당기＞,"51,794,579","51,794,579","51,794,579","51,794,579","51,794,579","51,794,579", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,510","1,254","1,378","1,139","1,286",, , 
  매출액＜당기＞,782.3,649.5,713.7,590.2,666.2,, , 
  보통주수정평균발행주식수＜당기＞,"51,794,579","51,794,579","51,794,579","51,794,579","51,794,579","51,794,579", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,14.65,14.65,9.46,37.85,22.58,, , 
  보통주수정주가(기말)＜당기＞,"2,695","2,125","2,105","1,835","1,995","1,985", , 
  EPS＜당기＞,184,145,222,48,88,, , 
펼치기 PBR,2.18,1.54,1.31,1.11,1.15,, , 
  보통주수정주가(기말)＜당기＞,"2,695","2,125","2,105","1,835","1,995","1,985", , 
  BPS＜당기＞,"1,234","1,383","1,603","1,655","1,740",, , 
펼치기 PCR,13.26,8.04,7.12,8.76,22.95,, , 
  보통주수정주가(기말)＜당기＞,"2,695","2,125","2,105","1,835","1,995","1,985", , 
  CPS＜당기＞,203,264,296,210,87,, , 
펼치기 PSR,1.78,1.69,1.53,1.61,1.55,, , 
  보통주수정주가(기말)＜당기＞,"2,695","2,125","2,105","1,835","1,995","1,985", , 
  SPS＜당기＞,"1,510","1,254","1,378","1,139","1,286",, , 
펼치기 EV/EBITDA,10.44,8.24,6.54,7.55,7.03,, , 
  EV＜당기＞,"1,368.9",959.3,782.4,541.1,576.1,, , 
  EBITDA＜당기＞,131.2,116.4,119.7,71.6,81.9,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
