항목,,,,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,,-6,, , 
  당기순이익(지배)＜당기＞,,,,,-0.2,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"4,292,959",, , 
  우선주수정평균발행주식수＜당기＞,,,,,0,, , 
펼치기 BPS,,,,,"1,775",, , 
  자본총계(지배)＜당기＞,,,,,96.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,,,"5,407,500",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,,,0,, , 
펼치기 CPS,,,,,-9,, , 
  영업활동현금흐름＜당기＞,,,,,-0.4,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"4,292,959",, , 
  우선주수정평균발행주식수＜당기＞,,,,,0,, , 
펼치기 SPS,,,,,0,, , 
  매출액＜당기＞,,,,,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"4,292,959",, , 
  우선주수정평균발행주식수＜당기＞,,,,,0,, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,145","2,190", , 
  EPS＜당기＞,,,,,-6,, , 
펼치기 PBR,,,,,1.21,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,145","2,190", , 
  BPS＜당기＞,,,,,"1,775",, , 
펼치기 PCR,,,,,-229.50,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,145","2,190", , 
  CPS＜당기＞,,,,,-9,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,145","2,190", , 
  SPS＜당기＞,,,,,0,, , 
펼치기 EV/EBITDA,,,,,-282.78,, , 
  EV＜당기＞,,,,,105.2,, , 
  EBITDA＜당기＞,,,,,-0.4,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,,,, , 
