항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-266,"-1,474",-3,-289,43,,115, 
  당기순이익(지배)＜당기＞,-48.7,-337.1,-0.7,-84.7,14.7,, , 
  보통주수정평균발행주식수＜당기＞,"18,282,396","22,875,194","27,268,234","29,348,152","34,611,984","34,611,984", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,814","1,562","1,590","1,272","1,314",,3, 
  자본총계(지배)＜당기＞,331.1,425.5,433.0,439.7,454.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"18,251,094","27,236,932","27,236,932","34,580,682","34,580,682","34,580,682", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-435,-227,39,-55,-81,,-46, 
  영업활동현금흐름＜당기＞,-79.4,-51.9,10.7,-16.2,-27.9,, , 
  보통주수정평균발행주식수＜당기＞,"18,282,396","22,875,194","27,268,234","29,348,152","34,611,984","34,611,984", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,316",844,689,20,248,,"1,142", 
  매출액＜당기＞,240.5,193.0,187.8,5.9,86.0,, , 
  보통주수정평균발행주식수＜당기＞,"18,282,396","22,875,194","27,268,234","29,348,152","34,611,984","34,611,984", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,105.33,,780.26, 
  보통주수정주가(기말)＜당기＞,"4,825","4,325","4,480","4,480","4,480","4,480", , 
  EPS＜당기＞,-266,"-1,474",-3,-289,43,, , 
펼치기 PBR,2.66,2.77,2.82,3.52,3.41,,-3.26, 
  보통주수정주가(기말)＜당기＞,"4,825","4,325","4,480","4,480","4,480","4,480", , 
  BPS＜당기＞,"1,814","1,562","1,590","1,272","1,314",, , 
펼치기 PCR,-11.10,-19.07,113.87,-81.33,-55.60,,31.63, 
  보통주수정주가(기말)＜당기＞,"4,825","4,325","4,480","4,480","4,480","4,480", , 
  CPS＜당기＞,-435,-227,39,-55,-81,, , 
펼치기 PSR,3.67,5.13,6.51,223.91,18.03,,-91.95, 
  보통주수정주가(기말)＜당기＞,"4,825","4,325","4,480","4,480","4,480","4,480", , 
  SPS＜당기＞,"1,316",844,689,20,248,, , 
펼치기 EV/EBITDA,63.11,-26.91,208.13,-614.73,110.23,,117.93, 
  EV＜당기＞,974.9,"1,113.2","1,144.2","1,243.7","1,396.2",, , 
  EBITDA＜당기＞,15.4,-41.4,5.5,-2.0,12.7,, , 
펼치기 DPS,0,0,0,,,, , 
  현금DPS,0,0,0,,,, , 
  주식DPS,0,0,0,,,, , 
  현금배당수익률,0.00,0.00,0.00,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
