항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-650,"-1,206",566,-290,-929,-711,-220,24
  당기순이익(지배)＜당기＞,-129.3,-257.7,135.9,-69.9,-233.9,-194.0, , 
  보통주수정평균발행주식수＜당기＞,"19,902,430","21,075,446","21,209,366","22,753,243","24,126,658","24,287,119", , 
  우선주수정평균발행주식수＜당기＞,0,"300,984","2,802,568","1,340,178","1,051,439","3,013,180", , 
펼치기 BPS,"2,421","4,237","4,736","4,651","9,497","8,841",104,-7
  자본총계(지배)＜당기＞,482.1,"1,016.6","1,137.5","1,121.3","2,587.7","2,415.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"19,909,174","21,179,764","21,443,878","23,683,806","24,234,918","24,303,258", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,"2,816,894","2,572,140","422,536","3,013,180","3,013,180", , 
펼치기 CPS,-413,-597,"1,004",-618,"-1,670",-410,-170,75
  영업활동현금흐름＜당기＞,-82.1,-127.6,241.1,-148.9,-420.5,-85.0, , 
  보통주수정평균발행주식수＜당기＞,"19,902,430","21,075,446","21,209,366","22,753,243","24,126,658","24,287,119", , 
  우선주수정평균발행주식수＜당기＞,0,"300,984","2,802,568","1,340,178","1,051,439","3,013,180", , 
펼치기 SPS,"1,108","1,181","2,395","2,050","1,277","1,546",-38,21
  매출액＜당기＞,220.6,252.4,575.0,493.9,321.6,422.0, , 
  보통주수정평균발행주식수＜당기＞,"19,902,430","21,075,446","21,209,366","22,753,243","24,126,658","24,287,119", , 
  우선주수정평균발행주식수＜당기＞,0,"300,984","2,802,568","1,340,178","1,051,439","3,013,180", , 
펼치기 PER,N/A,N/A,46.70,N/A,N/A,N/A,75.16,15.19
  보통주수정주가(기말)＜당기＞,"20,143","28,376","26,424","70,100","55,800","36,200", , 
  EPS＜당기＞,-650,"-1,206",566,-290,-929,-711, , 
펼치기 PBR,8.32,6.70,5.58,15.07,5.88,4.09,-61.01,-30.31
  보통주수정주가(기말)＜당기＞,"20,143","28,376","26,424","70,100","55,800","36,200", , 
  BPS＜당기＞,"2,421","4,237","4,736","4,651","9,497","8,841", , 
펼치기 PCR,-48.81,-47.54,26.31,-113.40,-33.41,-88.24,70.54,-164.09
  보통주수정주가(기말)＜당기＞,"20,143","28,376","26,424","70,100","55,800","36,200", , 
  CPS＜당기＞,-413,-597,"1,004",-618,"-1,670",-410, , 
펼치기 PSR,18.18,24.03,11.03,34.19,43.69,23.42,27.77,-46.40
  보통주수정주가(기말)＜당기＞,"20,143","28,376","26,424","70,100","55,800","36,200", , 
  SPS＜당기＞,"1,108","1,181","2,395","2,050","1,277","1,546", , 
펼치기 EV/EBITDA,-54.52,-40.08,38.56,-59.30,-48.04,-22.97,18.99,52.18
  EV＜당기＞,"3,926.8","5,290.2","4,735.4","15,874.0","11,846.4","6,822.8", , 
  EBITDA＜당기＞,-72.0,-132.0,122.8,-267.7,-246.6,-297.0, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  현금배당성향(%),0.00,0.00,,0.00,,, , 
