항목,,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,-150,10,2,,-81, 
  당기순이익(지배)＜당기＞,,,-0.1,0.6,0.1,, , 
  보통주수정평균발행주식수＜당기＞,,,"74,121","6,173,131","6,501,000",, , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 BPS,,,"1,173","1,912","1,914",,0, 
  자본총계(지배)＜당기＞,,,5.9,124.3,124.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,0,"501,000","6,501,000","6,501,000",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,0,0,0,0,, , 
펼치기 CPS,,,-186,-8,16,,309, 
  영업활동현금흐름＜당기＞,,,-0.1,-0.5,1.0,, , 
  보통주수정평균발행주식수＜당기＞,,,"74,121","6,173,131","6,501,000",, , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 SPS,,,0,0,0,, , 
  매출액＜당기＞,,,0.0,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,"74,121","6,173,131","6,501,000",, , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 PER,,,,203.17,"1,062.98",,423.21, 
  보통주수정주가(기말)＜당기＞,,,,"2,030","2,060","2,200", , 
  EPS＜당기＞,,,-150,10,2,, , 
펼치기 PBR,,,0.00,1.06,1.08,,1.37, 
  보통주수정주가(기말)＜당기＞,,,,"2,030","2,060","2,200", , 
  BPS＜당기＞,,,"1,173","1,912","1,914",, , 
펼치기 PCR,,,0.00,-269.08,130.69,,148.57, 
  보통주수정주가(기말)＜당기＞,,,,"2,030","2,060","2,200", , 
  CPS＜당기＞,,,-186,-8,16,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,"2,030","2,060","2,200", , 
  SPS＜당기＞,,,0,0,0,, , 
펼치기 EV/EBITDA,,,,-208.07,-288.65,,-38.73, 
  EV＜당기＞,,,,144.0,146.7,, , 
  EBITDA＜당기＞,,,-0.1,-0.7,-0.5,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,0.00,0.00,,, , 
