항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-42,124,620,-857,904,,205, 
  당기순이익(지배)＜당기＞,-3.2,9.3,47.8,-78.1,112.8,, , 
  보통주수정평균발행주식수＜당기＞,"7,500,000","7,500,000","7,694,300","9,089,800","12,481,075","14,155,000", , 
  우선주수정평균발행주식수＜당기＞,"15,625","15,625","22,166","27,852",385,0, , 
펼치기 BPS,178,302,"1,386","2,044","5,964",,192, 
  자본총계(지배)＜당기＞,13.4,22.7,126.0,236.4,844.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"7,500,000","7,500,000","9,062,500","11,562,500","14,155,000","14,155,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"15,625","15,625","28,125","3,125",0,0, , 
펼치기 CPS,212,134,699,"1,712",-94,,-106, 
  영업활동현금흐름＜당기＞,15.9,10.1,53.9,156.1,-11.7,, , 
  보통주수정평균발행주식수＜당기＞,"7,500,000","7,500,000","7,694,300","9,089,800","12,481,075","14,155,000", , 
  우선주수정평균발행주식수＜당기＞,"15,625","15,625","22,166","27,852",385,0, , 
펼치기 SPS,"4,095","5,724","8,042","11,850","10,824",,-9, 
  매출액＜당기＞,307.8,430.2,620.6,"1,080.4","1,351.0",, , 
  보통주수정평균발행주식수＜당기＞,"7,500,000","7,500,000","7,694,300","9,089,800","12,481,075","14,155,000", , 
  우선주수정평균발행주식수＜당기＞,"15,625","15,625","22,166","27,852",385,0, , 
펼치기 PER,,,,,12.06,, , 
  보통주수정주가(기말)＜당기＞,,,,,"10,900","8,880", , 
  EPS＜당기＞,-42,124,620,-857,904,, , 
펼치기 PBR,0.00,0.00,0.00,0.00,1.83,, , 
  보통주수정주가(기말)＜당기＞,,,,,"10,900","8,880", , 
  BPS＜당기＞,178,302,"1,386","2,044","5,964",, , 
펼치기 PCR,,,,,-115.81,, , 
  보통주수정주가(기말)＜당기＞,,,,,"10,900","8,880", , 
  CPS＜당기＞,212,134,699,"1,712",-94,, , 
펼치기 PSR,,,,,1.01,, , 
  보통주수정주가(기말)＜당기＞,,,,,"10,900","8,880", , 
  SPS＜당기＞,"4,095","5,724","8,042","11,850","10,824",, , 
펼치기 EV/EBITDA,,,,,8.86,, , 
  EV＜당기＞,,,,,"1,106.8",, , 
  EBITDA＜당기＞,9.5,18.6,62.6,220.0,125.0,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
