항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,43,"-1,476",-510,"-4,699",-933,,80, 
  당기순이익(지배)＜당기＞,2.7,-99.7,-34.9,-348.8,-147.9,, , 
  보통주수정평균발행주식수＜당기＞,"6,349,857","6,755,884","6,834,788","7,530,301","15,856,480","17,936,367", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"4,043","2,564","2,843",349,"1,808",,417, 
  자본총계(지배)＜당기＞,273.1,173.2,209.1,33.2,324.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"6,755,631","6,755,631","7,355,631","9,507,927","17,934,567","17,934,567", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-210,260,-699,43,-556,,"-1,391", 
  영업활동현금흐름＜당기＞,-13.4,17.6,-47.8,3.2,-88.1,, , 
  보통주수정평균발행주식수＜당기＞,"6,349,857","6,755,884","6,834,788","7,530,301","15,856,480","17,936,367", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"18,091","15,543","10,338",845,"2,981",,253, 
  매출액＜당기＞,"1,148.8","1,050.1",706.6,63.7,472.6,, , 
  보통주수정평균발행주식수＜당기＞,"6,349,857","6,755,884","6,834,788","7,530,301","15,856,480","17,936,367", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,122.49,N/A,N/A,N/A,N/A,,-109.14, 
  보통주수정주가(기말)＜당기＞,"5,270","6,290","3,620","9,780","4,060","3,640", , 
  EPS＜당기＞,43,"-1,476",-510,"-4,699",-933,, , 
펼치기 PBR,1.30,2.45,1.27,27.99,2.25,,-91.98, 
  보통주수정주가(기말)＜당기＞,"5,270","6,290","3,620","9,780","4,060","3,640", , 
  BPS＜당기＞,"4,043","2,564","2,843",349,"1,808",, , 
펼치기 PCR,-25.04,24.20,-5.18,227.22,-7.31,,-103.22, 
  보통주수정주가(기말)＜당기＞,"5,270","6,290","3,620","9,780","4,060","3,640", , 
  CPS＜당기＞,-210,260,-699,43,-556,, , 
펼치기 PSR,0.29,0.40,0.35,11.57,1.36,,-88.22, 
  보통주수정주가(기말)＜당기＞,"5,270","6,290","3,620","9,780","4,060","3,640", , 
  SPS＜당기＞,"18,091","15,543","10,338",845,"2,981",, , 
펼치기 EV/EBITDA,50.36,-8.03,-44.76,-38.16,60.88,,259.53, 
  EV＜당기＞,362.6,514.4,382.6,953.8,758.0,, , 
  EBITDA＜당기＞,7.2,-64.1,-8.5,-25.0,12.5,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
