항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-128,-175,-279,-97,-91,,7, 
  당기순이익(지배)＜당기＞,-32.2,-43.8,-77.9,-39.5,-48.2,, , 
  보통주수정평균발행주식수＜당기＞,"24,297,420","24,918,345","27,802,710","40,466,534","53,052,793","58,795,636", , 
  우선주수정평균발행주식수＜당기＞,"826,445","157,130","157,130","157,130","157,130","157,130", , 
펼치기 BPS,438,252,230,520,480,,-8, 
  자본총계(지배)＜당기＞,104.5,60.3,77.1,251.7,271.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"23,692,625","23,767,625","33,326,365","48,199,521","56,352,435","58,025,413", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"157,130","157,130","157,130","157,130","157,130","157,130", , 
펼치기 CPS,-4,-34,-123,-90,0,,100, 
  영업활동현금흐름＜당기＞,-1.0,-8.6,-34.3,-36.4,0.2,, , 
  보통주수정평균발행주식수＜당기＞,"24,297,420","24,918,345","27,802,710","40,466,534","53,052,793","58,795,636", , 
  우선주수정평균발행주식수＜당기＞,"826,445","157,130","157,130","157,130","157,130","157,130", , 
펼치기 SPS,565,368,195,198,170,,-14, 
  매출액＜당기＞,141.8,92.4,54.5,80.5,90.7,, , 
  보통주수정평균발행주식수＜당기＞,"24,297,420","24,918,345","27,802,710","40,466,534","53,052,793","58,795,636", , 
  우선주수정평균발행주식수＜당기＞,"826,445","157,130","157,130","157,130","157,130","157,130", , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,-16.61, 
  보통주수정주가(기말)＜당기＞,771,752,"1,246","1,555","1,690","1,180", , 
  EPS＜당기＞,-128,-175,-279,-97,-91,, , 
펼치기 PBR,1.76,2.98,5.41,2.99,3.52,,17.82, 
  보통주수정주가(기말)＜당기＞,771,752,"1,246","1,555","1,690","1,180", , 
  BPS＜당기＞,438,252,230,520,480,, , 
펼치기 PCR,-199.14,-22.03,-10.17,-17.34,"5,349.93",,"30,959.64", 
  보통주수정주가(기말)＜당기＞,771,752,"1,246","1,555","1,690","1,180", , 
  CPS＜당기＞,-4,-34,-123,-90,0,, , 
펼치기 PSR,1.37,2.04,6.39,7.84,9.92,,26.44, 
  보통주수정주가(기말)＜당기＞,771,752,"1,246","1,555","1,690","1,180", , 
  SPS＜당기＞,565,368,195,198,170,, , 
펼치기 EV/EBITDA,-108.76,-14.74,-11.53,-25.45,-36.31,,-42.66, 
  EV＜당기＞,246.2,254.7,480.3,749.9,834.0,, , 
  EBITDA＜당기＞,-2.3,-17.3,-41.7,-29.5,-23.0,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
