항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,90,25,40,-118,-210,,-79, 
  당기순이익(지배)＜당기＞,32.2,8.8,14.3,-42.0,-89.1,, , 
  보통주수정평균발행주식수＜당기＞,"35,715,022","35,715,022","35,715,022","35,715,022","42,421,828","49,019,283", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"5,748","5,793","5,741","5,430","4,452",,-18, 
  자본총계(지배)＜당기＞,"2,053.0","2,068.9","2,050.5","1,939.2","2,182.1",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"35,715,022","35,715,022","35,715,022","35,715,022","49,019,141","49,019,141", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,793,"1,423","1,396","1,685",895,,-47, 
  영업활동현금흐름＜당기＞,283.2,508.4,498.7,601.8,379.8,, , 
  보통주수정평균발행주식수＜당기＞,"35,715,022","35,715,022","35,715,022","35,715,022","42,421,828","49,019,283", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"6,374","7,809","9,025","9,781","11,114",,14, 
  매출액＜당기＞,"2,276.3","2,788.9","3,223.2","3,493.1","4,714.8",, , 
  보통주수정평균발행주식수＜당기＞,"35,715,022","35,715,022","35,715,022","35,715,022","42,421,828","49,019,283", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,71.21,195.27,135.21,N/A,N/A,,29.38, 
  보통주수정주가(기말)＜당기＞,"6,430","4,820","5,400","5,750","7,260","6,470", , 
  EPS＜당기＞,90,25,40,-118,-210,, , 
펼치기 PBR,1.12,0.83,0.94,1.06,1.63,,54.00, 
  보통주수정주가(기말)＜당기＞,"6,430","4,820","5,400","5,750","7,260","6,470", , 
  BPS＜당기＞,"5,748","5,793","5,741","5,430","4,452",, , 
펼치기 PCR,8.11,3.39,3.87,3.41,8.11,,137.60, 
  보통주수정주가(기말)＜당기＞,"6,430","4,820","5,400","5,750","7,260","6,470", , 
  CPS＜당기＞,793,"1,423","1,396","1,685",895,, , 
펼치기 PSR,1.01,0.62,0.60,0.59,0.65,,11.11, 
  보통주수정주가(기말)＜당기＞,"6,430","4,820","5,400","5,750","7,260","6,470", , 
  SPS＜당기＞,"6,374","7,809","9,025","9,781","11,114",, , 
펼치기 EV/EBITDA,6.86,3.35,3.70,4.35,9.49,,118.19, 
  EV＜당기＞,"1,999.8","1,017.9","1,435.4","1,775.7","2,908.6",, , 
  EBITDA＜당기＞,291.5,303.7,387.7,408.4,306.6,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
