항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,56,49,-102,26,"-3,130",,"-12,099", 
  당기순이익(지배)＜당기＞,28.7,25.5,-54.0,14.2,"-1,762.7",, , 
  보통주수정평균발행주식수＜당기＞,"45,128,460","45,964,794","46,950,418","54,020,615","55,805,487","63,916,245", , 
  우선주수정평균발행주식수＜당기＞,"6,203,111","6,203,111","5,970,900","585,572","515,379","731,959", , 
펼치기 BPS,182,228,536,682,921,,35, 
  자본총계(지배)＜당기＞,93.9,119.0,275.8,369.9,506.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"45,424,712","46,098,649","48,309,607","54,257,173","54,257,173","65,330,427", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"6,203,111","6,203,111","3,176,080",0,"731,959","731,959", , 
펼치기 CPS,112,37,71,71,-200,,-384, 
  영업활동현금흐름＜당기＞,57.4,19.3,37.8,38.5,-112.7,, , 
  보통주수정평균발행주식수＜당기＞,"45,128,460","45,964,794","46,950,418","54,020,615","55,805,487","63,916,245", , 
  우선주수정평균발행주식수＜당기＞,"6,203,111","6,203,111","5,970,900","585,572","515,379","731,959", , 
펼치기 SPS,293,320,334,356,448,,26, 
  매출액＜당기＞,150.2,166.8,176.7,194.4,252.5,, , 
  보통주수정평균발행주식수＜당기＞,"45,128,460","45,964,794","46,950,418","54,020,615","55,805,487","63,916,245", , 
  우선주수정평균발행주식수＜당기＞,"6,203,111","6,203,111","5,970,900","585,572","515,379","731,959", , 
펼치기 PER,,,N/A,155.35,N/A,,-105.48, 
  보통주수정주가(기말)＜당기＞,"1,873","1,950","1,645","4,052","26,647","8,730", , 
  EPS＜당기＞,56,49,-102,26,"-3,130",, , 
펼치기 PBR,,,3.07,5.94,28.92,,386.68, 
  보통주수정주가(기말)＜당기＞,"1,873","1,950","1,645","4,052","26,647","8,730", , 
  BPS＜당기＞,182,228,536,682,921,, , 
펼치기 PCR,,,23.03,57.42,-133.11,,-331.83, 
  보통주수정주가(기말)＜당기＞,"1,873","1,950","1,645","4,052","26,647","8,730", , 
  CPS＜당기＞,112,37,71,71,-200,, , 
펼치기 PSR,,,4.93,11.38,59.44,,422.19, 
  보통주수정주가(기말)＜당기＞,"1,873","1,950","1,645","4,052","26,647","8,730", , 
  SPS＜당기＞,293,320,334,356,448,, , 
펼치기 EV/EBITDA,,,21.48,84.32,-178.71,,-311.95, 
  EV＜당기＞,,,731.0,"2,362.5","14,815.8",, , 
  EBITDA＜당기＞,37.7,52.5,34.0,28.0,-82.9,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
