항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,202,1,132,60,194,,225, 
  당기순이익(지배)＜당기＞,62.3,0.4,42.1,19.0,61.8,, , 
  보통주수정평균발행주식수＜당기＞,"30,812,000","30,976,384","31,812,000","31,812,000","31,812,000","31,812,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,615,"1,255","1,387","1,434","1,719",,20, 
  자본총계(지배)＜당기＞,189.5,328.1,402.4,415.8,498.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"30,812,000","26,151,562","29,007,874","29,007,874","29,007,874","29,007,874", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-9,64,-18,178,379,,113, 
  영업활동현금흐름＜당기＞,-2.7,19.9,-5.7,56.5,120.4,, , 
  보통주수정평균발행주식수＜당기＞,"30,812,000","30,976,384","31,812,000","31,812,000","31,812,000","31,812,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,172","1,009","1,290","1,083","1,816",,68, 
  매출액＜당기＞,361.1,312.6,410.3,344.6,577.6,, , 
  보통주수정평균발행주식수＜당기＞,"30,812,000","30,976,384","31,812,000","31,812,000","31,812,000","31,812,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,"1,162.87",14.85,48.19,24.05,,-50.09, 
  보통주수정주가(기말)＜당기＞,,"1,555","1,965","2,880","4,670","4,160", , 
  EPS＜당기＞,202,1,132,60,194,, , 
펼치기 PBR,,1.24,1.42,2.01,2.72,,35.23, 
  보통주수정주가(기말)＜당기＞,,"1,555","1,965","2,880","4,670","4,160", , 
  BPS＜당기＞,615,"1,255","1,387","1,434","1,719",, , 
펼치기 PCR,,24.24,-109.65,16.22,12.34,,-23.92, 
  보통주수정주가(기말)＜당기＞,,"1,555","1,965","2,880","4,670","4,160", , 
  CPS＜당기＞,-9,64,-18,178,379,, , 
펼치기 PSR,,1.54,1.52,2.66,2.57,,-3.25, 
  보통주수정주가(기말)＜당기＞,,"1,555","1,965","2,880","4,670","4,160", , 
  SPS＜당기＞,"1,172","1,009","1,290","1,083","1,816",, , 
펼치기 EV/EBITDA,,6.05,10.03,22.55,18.27,,-19.00, 
  EV＜당기＞,,350.6,528.2,761.5,"1,172.1",, , 
  EBITDA＜당기＞,80.9,58.0,52.7,33.8,64.2,, , 
펼치기 DPS,0,20,25,25,30,,20, 
  현금DPS,0,20,25,25,30,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,1.29,1.27,0.87,0.64,,-0.23, 
  현금배당성향(%),0.00,"1,262.70",17.23,38.14,14.09,,-24.05, 
