항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,184,302,225,145,247,,70, 
  당기순이익(지배)＜당기＞,57.5,98.3,77.2,49.7,84.7,, , 
  보통주수정평균발행주식수＜당기＞,"31,250,000","32,538,080","34,322,870","34,322,870","34,322,870",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"3,057","3,149","3,373","3,519","3,767",,7, 
  자본총계(지배)＜당기＞,952.0,"1,077.4","1,154.1","1,204.1","1,289.0",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"31,143,156","34,216,026","34,216,026","34,216,026","34,216,026",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,377,642,82,902,268,,-70, 
  영업활동현금흐름＜당기＞,117.8,208.9,28.3,309.7,91.8,, , 
  보통주수정평균발행주식수＜당기＞,"31,250,000","32,538,080","34,322,870","34,322,870","34,322,870",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"3,719","2,538","1,875","2,968","3,323",,12, 
  매출액＜당기＞,"1,162.2",825.7,643.5,"1,018.5","1,140.4",, , 
  보통주수정평균발행주식수＜당기＞,"31,250,000","32,538,080","34,322,870","34,322,870","34,322,870",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,21.10,9.62,12.09,27.14,14.00,,-48.42, 
  보통주수정주가(기말)＜당기＞,"3,880","2,905","2,720","3,930","3,455","3,400", , 
  EPS＜당기＞,184,302,225,145,247,, , 
펼치기 PBR,1.27,0.92,0.81,1.12,0.92,,-17.88, 
  보통주수정주가(기말)＜당기＞,"3,880","2,905","2,720","3,930","3,455","3,400", , 
  BPS＜당기＞,"3,057","3,149","3,373","3,519","3,767",, , 
펼치기 PCR,10.30,4.52,33.01,4.36,12.92,,196.51, 
  보통주수정주가(기말)＜당기＞,"3,880","2,905","2,720","3,930","3,455","3,400", , 
  CPS＜당기＞,377,642,82,902,268,, , 
펼치기 PSR,1.04,1.14,1.45,1.32,1.04,,-21.48, 
  보통주수정주가(기말)＜당기＞,"3,880","2,905","2,720","3,930","3,455","3,400", , 
  SPS＜당기＞,"3,719","2,538","1,875","2,968","3,323",, , 
펼치기 EV/EBITDA,10.29,3.92,4.78,7.52,7.20,,-4.34, 
  EV＜당기＞,"1,179.8",619.8,570.1,790.3,574.9,, , 
  EBITDA＜당기＞,114.7,158.2,119.2,105.1,79.9,, , 
펼치기 DPS,0,,,,,, , 
  현금DPS,0,,,,,, , 
  주식DPS,0,,,,,, , 
  현금배당수익률,0.00,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
