항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,91,43,76,-936,57,,106, 
  당기순이익(지배)＜당기＞,43.0,20.3,35.9,-21.4,27.1,, , 
  보통주수정평균발행주식수＜당기＞,"47,239,312","47,239,312","47,239,312","2,291,063","47,987,845","50,253,386", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,300,343,419,766,835,,9, 
  자본총계(지배)＜당기＞,141.6,162.1,198.0,364.5,405.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"47,239,312","47,239,312","47,239,312","47,552,969","48,561,739","50,449,966", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,82,73,76,553,-11,,-102, 
  영업활동현금흐름＜당기＞,38.9,34.5,36.1,12.7,-5.5,, , 
  보통주수정평균발행주식수＜당기＞,"47,239,312","47,239,312","47,239,312","2,291,063","47,987,845","50,253,386", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,259,189,223,"5,356",256,,-95, 
  매출액＜당기＞,122.3,89.2,105.1,122.7,122.6,, , 
  보통주수정평균발행주식수＜당기＞,"47,239,312","47,239,312","47,239,312","2,291,063","47,987,845","50,253,386", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,N/A,30.76,,"1,788.16", 
  보통주수정주가(기말)＜당기＞,,,,"1,705","1,740","1,590", , 
  EPS＜당기＞,91,43,76,-936,57,, , 
펼치기 PBR,,,,2.22,2.08,,-6.27, 
  보통주수정주가(기말)＜당기＞,,,,"1,705","1,740","1,590", , 
  BPS＜당기＞,300,343,419,766,835,, , 
펼치기 PCR,,,,3.08,-152.25,,"-5,042.28", 
  보통주수정주가(기말)＜당기＞,,,,"1,705","1,740","1,590", , 
  CPS＜당기＞,82,73,76,553,-11,, , 
펼치기 PSR,,,,0.32,6.81,,"2,039.00", 
  보통주수정주가(기말)＜당기＞,,,,"1,705","1,740","1,590", , 
  SPS＜당기＞,259,189,223,"5,356",256,, , 
펼치기 EV/EBITDA,,,,25.88,22.37,,-13.55, 
  EV＜당기＞,,,,551.0,602.6,, , 
  EBITDA＜당기＞,48.0,20.8,44.3,21.3,26.9,, , 
펼치기 DPS,0,0,0,0,20,, , 
  현금DPS,0,0,0,0,20,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,1.15,,1.15, 
  현금배당성향(%),0.00,0.00,0.00,0.00,35.78,,35.78, 
