항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,145,174,142,290,-279,,-196, 
  당기순이익(지배)＜당기＞,6.1,7.5,6.2,12.6,-14.4,, , 
  보통주수정평균발행주식수＜당기＞,"3,259,250","3,393,750","3,393,750","3,575,831","5,176,342","5,667,658", , 
  우선주수정평균발행주식수＜당기＞,"936,370","936,370","936,370","770,075",0,0, , 
펼치기 BPS,"2,675","2,849","3,024","3,269","4,686",,43, 
  자본총계(지배)＜당기＞,115.8,123.4,130.9,144.5,260.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"3,393,750","3,393,750","3,393,750","4,419,008","5,560,158","5,560,158", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"936,370","936,370","936,370",0,0,0, , 
펼치기 CPS,368,144,399,366,-130,,-135, 
  영업활동현금흐름＜당기＞,15.4,6.2,17.3,15.9,-6.7,, , 
  보통주수정평균발행주식수＜당기＞,"3,259,250","3,393,750","3,393,750","3,575,831","5,176,342","5,667,658", , 
  우선주수정평균발행주식수＜당기＞,"936,370","936,370","936,370","770,075",0,0, , 
펼치기 SPS,"3,479","3,420","3,389","3,120","2,420",,-22, 
  매출액＜당기＞,146.0,148.1,146.7,135.6,125.3,, , 
  보통주수정평균발행주식수＜당기＞,"3,259,250","3,393,750","3,393,750","3,575,831","5,176,342","5,667,658", , 
  우선주수정평균발행주식수＜당기＞,"936,370","936,370","936,370","770,075",0,0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"13,150","8,450", , 
  EPS＜당기＞,145,174,142,290,-279,, , 
펼치기 PBR,0.00,0.00,0.00,0.00,2.81,, , 
  보통주수정주가(기말)＜당기＞,,,,,"13,150","8,450", , 
  BPS＜당기＞,"2,675","2,849","3,024","3,269","4,686",, , 
펼치기 PCR,,,,,-101.33,, , 
  보통주수정주가(기말)＜당기＞,,,,,"13,150","8,450", , 
  CPS＜당기＞,368,144,399,366,-130,, , 
펼치기 PSR,,,,,5.43,, , 
  보통주수정주가(기말)＜당기＞,,,,,"13,150","8,450", , 
  SPS＜당기＞,"3,479","3,420","3,389","3,120","2,420",, , 
펼치기 EV/EBITDA,,,,,218.27,, , 
  EV＜당기＞,,,,,581.7,, , 
  EBITDA＜당기＞,15.0,12.6,13.7,10.7,2.7,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
