항목,"2017/12
(GAAP개별)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,344,475,235,40,554,,"1,287", 
  당기순이익(지배)＜당기＞,22.6,31.2,17.3,3.3,46.1,, , 
  보통주수정평균발행주식수＜당기＞,"6,559,920","6,559,920","7,367,239","8,324,420","8,324,420",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"4,876","5,129","5,213","5,206","5,739",,10, 
  자본총계(지배)＜당기＞,319.9,336.4,434.0,433.3,477.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"6,559,920","6,559,920","8,324,420","8,324,420","8,324,420",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,16,318,-351,410,223,,-45, 
  영업활동현금흐름＜당기＞,1.1,20.9,-25.9,34.1,18.6,, , 
  보통주수정평균발행주식수＜당기＞,"6,559,920","6,559,920","7,367,239","8,324,420","8,324,420",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"7,241","7,778","6,108","4,953","5,951",,20, 
  매출액＜당기＞,475.0,510.3,450.0,412.3,495.4,, , 
  보통주수정평균발행주식수＜당기＞,"6,559,920","6,559,920","7,367,239","8,324,420","8,324,420",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,,,27.54,114.60,9.59,,-91.63, 
  보통주수정주가(기말)＜당기＞,,,"6,470","4,575","5,310","9,700", , 
  EPS＜당기＞,344,475,235,40,554,, , 
펼치기 PBR,0.00,0.00,1.24,0.88,0.93,,5.28, 
  보통주수정주가(기말)＜당기＞,,,"6,470","4,575","5,310","9,700", , 
  BPS＜당기＞,"4,876","5,129","5,213","5,206","5,739",, , 
펼치기 PCR,,,-18.43,11.17,23.77,,112.85, 
  보통주수정주가(기말)＜당기＞,,,"6,470","4,575","5,310","9,700", , 
  CPS＜당기＞,16,318,-351,410,223,, , 
펼치기 PSR,,,1.06,0.92,0.89,,-3.40, 
  보통주수정주가(기말)＜당기＞,,,"6,470","4,575","5,310","9,700", , 
  SPS＜당기＞,"7,241","7,778","6,108","4,953","5,951",, , 
펼치기 EV/EBITDA,,,36.76,27.52,21.00,,-23.68, 
  EV＜당기＞,,,673.2,479.8,454.9,, , 
  EBITDA＜당기＞,41.1,44.7,18.3,17.4,21.7,, , 
펼치기 DPS,168,170,70,40,180,,350, 
  현금DPS,168,170,70,40,180,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,1.08,0.87,3.39,,2.52, 
  현금배당성향(%),48.93,35.75,33.67,100.19,32.52,,-67.67, 
