항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,353","1,155","1,219","1,736","3,480","2,824",100,-19
  당기순이익(지배)＜당기＞,33.8,28.9,30.5,43.5,87.6,97.0, , 
  보통주수정평균발행주식수＜당기＞,"2,500,000","2,500,000","2,500,000","2,503,250","2,518,500","3,435,059", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"4,372","5,527","6,746","8,439","10,768",,28, 
  자본총계(지배)＜당기＞,109.3,138.2,168.7,212.5,271.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"2,500,000","2,500,000","2,500,000","2,518,500","2,518,500","3,672,100", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"1,393",917,"1,119","2,057","3,265",,59, 
  영업활동현금흐름＜당기＞,34.8,22.9,28.0,51.5,82.2,, , 
  보통주수정평균발행주식수＜당기＞,"2,500,000","2,500,000","2,500,000","2,503,250","2,518,500","3,435,059", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"9,312","9,548","9,828","13,056","18,789","17,176",44,-9
  매출액＜당기＞,232.8,238.7,245.7,326.8,473.2,590.0, , 
  보통주수정평균발행주식수＜당기＞,"2,500,000","2,500,000","2,500,000","2,503,250","2,518,500","3,435,059", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,,,11.51, , 
  보통주수정주가(기말)＜당기＞,,,,,,"32,500", , 
  EPS＜당기＞,"1,353","1,155","1,219","1,736","3,480","2,824", , 
펼치기 PBR,0.00,0.00,0.00,0.00,0.00,, , 
  보통주수정주가(기말)＜당기＞,,,,,,"32,500", , 
  BPS＜당기＞,"4,372","5,527","6,746","8,439","10,768",, , 
펼치기 PCR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,,"32,500", , 
  CPS＜당기＞,"1,393",917,"1,119","2,057","3,265",, , 
펼치기 PSR,,,,,,1.89, , 
  보통주수정주가(기말)＜당기＞,,,,,,"32,500", , 
  SPS＜당기＞,"9,312","9,548","9,828","13,056","18,789","17,176", , 
펼치기 EV/EBITDA,,,,,,, , 
  EV＜당기＞,,,,,,, , 
  EBITDA＜당기＞,43.7,38.5,34.3,58.1,108.4,, , 
펼치기 DPS,0,0,0,0,"2,400",, , 
  현금DPS,0,0,0,0,"2,400",, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,68.97,,68.97, 
