항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-561,-156,929,431,970,, , 
  당기순이익(지배)＜당기＞,-37.4,-10.4,61.9,35.6,100.1,, , 
  보통주수정평균발행주식수＜당기＞,"6,140,000","6,140,000","6,140,000","8,188,990","10,320,383","10,320,383", , 
  우선주수정평균발행주식수＜당기＞,"529,410","529,410","529,410","84,378",0,0, , 
펼치기 BPS,471,668,"1,628","6,059","7,068",, , 
  자본총계(지배)＜당기＞,30.3,43.0,104.9,611.6,713.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"5,913,340","5,913,340","5,913,340","10,093,723","10,093,723","10,093,723", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"529,410","529,410","529,410",0,0,0, , 
펼치기 CPS,367,90,846,"2,106",-448,, , 
  영업활동현금흐름＜당기＞,24.5,6.0,56.4,174.2,-46.2,, , 
  보통주수정평균발행주식수＜당기＞,"6,140,000","6,140,000","6,140,000","8,188,990","10,320,383","10,320,383", , 
  우선주수정평균발행주식수＜당기＞,"529,410","529,410","529,410","84,378",0,0, , 
펼치기 SPS,"2,733","4,213","8,743","11,159","7,504",, , 
  매출액＜당기＞,182.3,281.0,583.1,923.2,774.4,, , 
  보통주수정평균발행주식수＜당기＞,"6,140,000","6,140,000","6,140,000","8,188,990","10,320,383","10,320,383", , 
  우선주수정평균발행주식수＜당기＞,"529,410","529,410","529,410","84,378",0,0, , 
펼치기 PER,N/A,N/A,4.52,81.74,31.54,, , 
  보통주수정주가(기말)＜당기＞,810,435,"4,200","35,200","30,600","27,200", , 
  EPS＜당기＞,-561,-156,929,431,970,, , 
펼치기 PBR,1.72,0.65,2.58,5.81,4.33,, , 
  보통주수정주가(기말)＜당기＞,810,435,"4,200","35,200","30,600","27,200", , 
  BPS＜당기＞,471,668,"1,628","6,059","7,068",, , 
펼치기 PCR,2.20,4.82,4.96,16.71,-68.32,, , 
  보통주수정주가(기말)＜당기＞,810,435,"4,200","35,200","30,600","27,200", , 
  CPS＜당기＞,367,90,846,"2,106",-448,, , 
펼치기 PSR,0.30,0.10,0.48,3.15,4.08,, , 
  보통주수정주가(기말)＜당기＞,810,435,"4,200","35,200","30,600","27,200", , 
  SPS＜당기＞,"2,733","4,213","8,743","11,159","7,504",, , 
펼치기 EV/EBITDA,-140.65,7.90,3.43,18.06,32.84,, , 
  EV＜당기＞,274.9,229.0,411.5,"3,265.9","2,971.2",, , 
  EBITDA＜당기＞,-2.0,29.0,119.9,180.8,90.5,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
