항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-919,"-1,305",-354,-516,"-1,304",,-153, 
  당기순이익(지배)＜당기＞,-87.9,-137.5,-70.9,-121.2,-316.4,, , 
  보통주수정평균발행주식수＜당기＞,"9,270,500","9,877,360","20,055,606","23,488,078","23,815,238","23,958,768", , 
  우선주수정평균발행주식수＜당기＞,"300,046","658,762",0,0,"452,844","1,377,401", , 
펼치기 BPS,-709,"1,600","3,943","3,469","3,462",,-0, 
  자본총계(지배)＜당기＞,-70.9,287.5,925.0,825.1,875.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"9,578,400","17,972,330","23,459,826","23,783,926","23,917,226","23,976,226", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"410,560",0,0,0,"1,377,401","1,377,401", , 
펼치기 CPS,-377,-479,-222,-399,"-1,022",,-156, 
  영업활동현금흐름＜당기＞,-36.1,-50.5,-44.5,-93.8,-248.0,, , 
  보통주수정평균발행주식수＜당기＞,"9,270,500","9,877,360","20,055,606","23,488,078","23,815,238","23,958,768", , 
  우선주수정평균발행주식수＜당기＞,"300,046","658,762",0,0,"452,844","1,377,401", , 
펼치기 SPS,24,107,55,45,2,,-95, 
  매출액＜당기＞,2.3,11.3,11.1,10.5,0.6,, , 
  보통주수정평균발행주식수＜당기＞,"9,270,500","9,877,360","20,055,606","23,488,078","23,815,238","23,958,768", , 
  우선주수정평균발행주식수＜당기＞,"300,046","658,762",0,0,"452,844","1,377,401", , 
펼치기 PER,,,N/A,N/A,N/A,,63.80, 
  보통주수정주가(기말)＜당기＞,,,"17,650","21,100","19,300","16,100", , 
  EPS＜당기＞,-919,"-1,305",-354,-516,"-1,304",, , 
펼치기 PBR,0.00,0.00,4.48,6.08,5.57,,-8.35, 
  보통주수정주가(기말)＜당기＞,,,"17,650","21,100","19,300","16,100", , 
  BPS＜당기＞,-709,"1,600","3,943","3,469","3,462",, , 
펼치기 PCR,,,-79.54,-52.84,-18.88,,64.26, 
  보통주수정주가(기말)＜당기＞,,,"17,650","21,100","19,300","16,100", , 
  CPS＜당기＞,-377,-479,-222,-399,"-1,022",, , 
펼치기 PSR,,,318.04,472.47,"8,246.38",,"1,645.37", 
  보통주수정주가(기말)＜당기＞,,,"17,650","21,100","19,300","16,100", , 
  SPS＜당기＞,24,107,55,45,2,, , 
펼치기 EV/EBITDA,,,-45.27,-34.96,-14.32,,59.03, 
  EV＜당기＞,,,"3,253.0","4,294.8","4,404.4",, , 
  EBITDA＜당기＞,-39.6,-46.8,-71.9,-122.9,-307.5,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
