항목,"2017/12
(IFRS별도)",2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-72,116,126,163,-61,236, ,489
  당기순이익(지배)＜당기＞,-34.0,59.4,73.1,94.7,-35.3,137.0, , 
  보통주수정평균발행주식수＜당기＞,"47,130,699","51,172,856","58,115,438","58,115,438","58,115,438","58,115,438", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,849","2,518","2,644","2,806","2,399","2,636", ,10
  자본총계(지배)＜당기＞,909.8,"1,454.2","1,526.9","1,620.5","1,385.6","1,522.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"49,192,753","57,746,960","57,746,960","57,746,960","57,746,960",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,168,66,50,13,476,353, ,-26
  영업활동현금흐름＜당기＞,79.4,33.6,29.2,7.4,276.5,398.0, , 
  보통주수정평균발행주식수＜당기＞,"47,130,699","51,172,856","58,115,438","58,115,438","58,115,438","58,115,438", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"3,302","3,346","3,966","4,250","4,336","4,553", ,5
  매출액＜당기＞,"1,556.4","1,712.3","2,304.7","2,469.7","2,520.1","2,646.0", , 
  보통주수정평균발행주식수＜당기＞,"47,130,699","51,172,856","58,115,438","58,115,438","58,115,438","58,115,438", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,41.45,28.01,23.35,N/A,19.94, ,121.45
  보통주수정주가(기말)＜당기＞,"4,745","4,810","3,525","3,805","5,640","4,700", , 
  EPS＜당기＞,-72,116,126,163,-61,236, , 
펼치기 PBR,2.57,1.91,1.33,1.36,2.35,1.78, ,-24.13
  보통주수정주가(기말)＜당기＞,"4,745","4,810","3,525","3,805","5,640","4,700", , 
  BPS＜당기＞,"1,849","2,518","2,644","2,806","2,399","2,636", , 
펼치기 PCR,28.18,73.28,70.26,297.64,11.85,13.32, ,12.41
  보통주수정주가(기말)＜당기＞,"4,745","4,810","3,525","3,805","5,640","4,700", , 
  CPS＜당기＞,168,66,50,13,476,353, , 
펼치기 PSR,1.44,1.44,0.89,0.90,1.30,1.03, ,-20.63
  보통주수정주가(기말)＜당기＞,"4,745","4,810","3,525","3,805","5,640","4,700", , 
  SPS＜당기＞,"3,302","3,346","3,966","4,250","4,336","4,553", , 
펼치기 EV/EBITDA,33.77,27.51,9.84,9.04,17.19,11.53, ,-32.91
  EV＜당기＞,"1,852.8","2,466.5","1,266.1","1,452.7","2,676.8","2,640.4", , 
  EBITDA＜당기＞,54.9,89.7,128.7,160.6,155.8,229.0, , 
펼치기 DPS,0,,,,,, , 
  현금DPS,0,,,,,, , 
  주식DPS,0,,,,,, , 
  현금배당수익률,0.00,,,,,0.00, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
