항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,61,-302,49,61,255,,317, 
  당기순이익(지배)＜당기＞,7.3,-43.7,7.2,9.7,42.2,, , 
  보통주수정평균발행주식수＜당기＞,"11,848,424","13,497,842","13,626,448","15,790,290","16,526,307","16,526,307", , 
  우선주수정평균발행주식수＜당기＞,0,"952,746","970,174","78,213",0,, , 
펼치기 BPS,"4,594","4,334","4,295","4,182","4,925",,18, 
  자본총계(지배)＜당기＞,555.4,569.9,574.6,632.2,813.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"12,090,508","12,090,508","12,847,624","15,118,973","16,526,307","16,526,307", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,"1,060,220","530,110",0,0,0, , 
펼치기 CPS,201,4,433,540,961,,78, 
  영업활동현금흐름＜당기＞,23.8,0.6,63.2,85.8,158.8,, , 
  보통주수정평균발행주식수＜당기＞,"11,848,424","13,497,842","13,626,448","15,790,290","16,526,307","16,526,307", , 
  우선주수정평균발행주식수＜당기＞,0,"952,746","970,174","78,213",0,, , 
펼치기 SPS,"4,851","5,951","5,798","4,749","4,709",,-1, 
  매출액＜당기＞,574.8,859.9,846.3,753.6,778.2,, , 
  보통주수정평균발행주식수＜당기＞,"11,848,424","13,497,842","13,626,448","15,790,290","16,526,307","16,526,307", , 
  우선주수정평균발행주식수＜당기＞,0,"952,746","970,174","78,213",0,, , 
펼치기 PER,69.15,N/A,66.16,46.45,44.63,,-3.92, 
  보통주수정주가(기말)＜당기＞,"4,240","2,820","3,265","2,845","11,400","6,700", , 
  EPS＜당기＞,61,-302,49,61,255,, , 
펼치기 PBR,0.92,0.65,0.76,0.68,2.31,,240.25, 
  보통주수정주가(기말)＜당기＞,"4,240","2,820","3,265","2,845","11,400","6,700", , 
  BPS＜당기＞,"4,594","4,334","4,295","4,182","4,925",, , 
펼치기 PCR,21.12,716.80,7.55,5.26,11.86,,125.36, 
  보통주수정주가(기말)＜당기＞,"4,240","2,820","3,265","2,845","11,400","6,700", , 
  CPS＜당기＞,201,4,433,540,961,, , 
펼치기 PSR,0.87,0.47,0.56,0.60,2.42,,304.12, 
  보통주수정주가(기말)＜당기＞,"4,240","2,820","3,265","2,845","11,400","6,700", , 
  SPS＜당기＞,"4,851","5,951","5,798","4,749","4,709",, , 
펼치기 EV/EBITDA,6.86,6.09,3.69,3.28,14.77,,350.50, 
  EV＜당기＞,494.1,323.2,446.1,365.7,"1,687.2",, , 
  EBITDA＜당기＞,72.0,53.1,121.0,111.6,114.2,, , 
펼치기 DPS,50,0,0,40,60,,50, 
  현금DPS,50,0,0,40,60,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,1.18,0.00,0.00,1.41,0.53,,-0.88, 
  현금배당성향(%),83.21,0.00,0.00,62.22,23.49,,-38.73, 
