항목,,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,-69,7,-6,,-187, 
  당기순이익(지배)＜당기＞,,,-0.3,0.4,-0.4,, , 
  보통주수정평균발행주식수＜당기＞,,,"452,795","5,610,000","5,610,000","50,227,507", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 BPS,,,"1,893","1,900","1,894",,-0, 
  자본총계(지배)＜당기＞,,,106.2,106.6,106.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,0,"5,610,000","5,610,000","5,610,000","87,036,951", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,0,0,0,0,, , 
펼치기 CPS,,,-54,-9,-11,,-30, 
  영업활동현금흐름＜당기＞,,,-0.2,-0.5,-0.6,, , 
  보통주수정평균발행주식수＜당기＞,,,"452,795","5,610,000","5,610,000","50,227,507", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 SPS,,,0,0,0,, , 
  매출액＜당기＞,,,0.0,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,"452,795","5,610,000","5,610,000","50,227,507", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 PER,,,N/A,284.43,N/A,,-246.32, 
  보통주수정주가(기말)＜당기＞,,,"2,000","2,095","2,675","4,185", , 
  EPS＜당기＞,,,-69,7,-6,, , 
펼치기 PBR,,,1.06,1.10,1.41,,28.12, 
  보통주수정주가(기말)＜당기＞,,,"2,000","2,095","2,675","4,185", , 
  BPS＜당기＞,,,"1,893","1,900","1,894",, , 
펼치기 PCR,,,-36.77,-241.99,-237.66,,1.79, 
  보통주수정주가(기말)＜당기＞,,,"2,000","2,095","2,675","4,185", , 
  CPS＜당기＞,,,-54,-9,-11,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,"2,000","2,095","2,675","4,185", , 
  SPS＜당기＞,,,0,0,0,, , 
펼치기 EV/EBITDA,,,-388.68,-258.41,-172.38,,33.29, 
  EV＜당기＞,,,105.5,121.8,155.4,, , 
  EBITDA＜당기＞,,,-0.3,-0.5,-0.9,, , 
펼치기 DPS,,,0,0,0,, , 
  현금DPS,,,0,0,0,, , 
  주식DPS,,,0,0,0,, , 
  현금배당수익률,,,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),,,0.00,0.00,0.00,,0.00, 
