항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,343,280,233,156,277,377,77,36
  당기순이익(지배)＜당기＞,53.0,52.9,44.1,30.7,62.4,85.0, , 
  보통주수정평균발행주식수＜당기＞,"15,452,293","18,924,833","18,924,833","19,688,802","22,556,163","22,556,163", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,692","1,871","1,969","2,739","2,830",,3, 
  자본총계(지배)＜당기＞,320.1,354.1,372.7,613.1,632.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"18,924,829","18,924,829","18,924,829","22,382,466","22,359,446","22,556,163", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,253,262,266,348,467,,34, 
  영업활동현금흐름＜당기＞,39.1,49.6,50.4,68.5,105.3,, , 
  보통주수정평균발행주식수＜당기＞,"15,452,293","18,924,833","18,924,833","19,688,802","22,556,163","22,556,163", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,871,795,828,936,"1,486","1,880",59,26
  매출액＜당기＞,134.6,150.4,156.8,184.3,335.3,424.0, , 
  보통주수정평균발행주식수＜당기＞,"15,452,293","18,924,833","18,924,833","19,688,802","22,556,163","22,556,163", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,14.27,27.09,30.67,56.18,53.51,27.07,-4.75,-49.42
  보통주수정주가(기말)＜당기＞,"4,890","7,578","7,149","8,765","14,800","10,200", , 
  EPS＜당기＞,343,280,233,156,277,377, , 
펼치기 PBR,2.89,4.05,3.63,3.20,5.23,,63.47, 
  보통주수정주가(기말)＜당기＞,"4,890","7,578","7,149","8,765","14,800","10,200", , 
  BPS＜당기＞,"1,692","1,871","1,969","2,739","2,830",, , 
펼치기 PCR,19.30,28.90,26.84,25.18,31.72,,25.95, 
  보통주수정주가(기말)＜당기＞,"4,890","7,578","7,149","8,765","14,800","10,200", , 
  CPS＜당기＞,253,262,266,348,467,, , 
펼치기 PSR,5.62,9.54,8.63,9.36,9.96,5.43,6.34,-45.50
  보통주수정주가(기말)＜당기＞,"4,890","7,578","7,149","8,765","14,800","10,200", , 
  SPS＜당기＞,871,795,828,936,"1,486","1,880", , 
펼치기 EV/EBITDA,10.19,18.38,13.26,25.49,28.81,,13.05, 
  EV＜당기＞,609.3,"1,094.0",914.6,"1,671.3","3,109.4",, , 
  EBITDA＜당기＞,59.8,59.5,69.0,65.6,107.9,, , 
펼치기 DPS,91,118,144,151,200,,32, 
  현금DPS,91,118,144,151,200,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.86,1.56,2.01,1.73,1.35,,-0.37, 
  현금배당성향(%),32.44,42.20,61.67,109.41,71.68,,-37.73, 
