항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-64,-23,-133,78,503,989,547,97
  당기순이익(지배)＜당기＞,-6.1,-2.5,-14.3,8.4,58.7,122.0, , 
  보통주수정평균발행주식수＜당기＞,"9,546,570","10,625,220","10,758,033","10,858,505","11,666,933","12,339,234", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,882,428,305,412,"1,581","2,593",284,64
  자본총계(지배)＜당기＞,93.2,45.6,33.0,45.0,195.1,320.0, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"10,575,468","10,667,968","10,824,218","10,927,467","12,339,214","12,339,215", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-296,374,-27,-61,3,"1,054",106,"30,265"
  영업활동현금흐름＜당기＞,-28.2,39.8,-2.9,-6.7,0.4,169.0, , 
  보통주수정평균발행주식수＜당기＞,"9,546,570","10,625,220","10,758,033","10,858,505","11,666,933","12,339,234", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"3,006","2,291","1,174","1,694","3,159","4,814",86,52
  매출액＜당기＞,287.0,243.4,126.3,184.0,368.6,594.0, , 
  보통주수정평균발행주식수＜당기＞,"9,546,570","10,625,220","10,758,033","10,858,505","11,666,933","12,339,234", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,65.11,31.49,16.89,-51.64,-46.35
  보통주수정주가(기말)＜당기＞,"4,324","2,158","1,642","5,065","15,836","16,700", , 
  EPS＜당기＞,-64,-23,-133,78,503,989, , 
펼치기 PBR,4.90,5.05,5.39,12.30,10.02,6.44,-18.59,-35.72
  보통주수정주가(기말)＜당기＞,"4,324","2,158","1,642","5,065","15,836","16,700", , 
  BPS＜당기＞,882,428,305,412,"1,581","2,593", , 
펼치기 PCR,-14.61,5.76,-61.81,-82.41,"4,564.32",15.85,"5,638.37",-99.65
  보통주수정주가(기말)＜당기＞,"4,324","2,158","1,642","5,065","15,836","16,700", , 
  CPS＜당기＞,-296,374,-27,-61,3,"1,054", , 
펼치기 PSR,1.44,0.94,1.40,2.99,5.01,3.47,67.69,-30.79
  보통주수정주가(기말)＜당기＞,"4,324","2,158","1,642","5,065","15,836","16,700", , 
  SPS＜당기＞,"3,006","2,291","1,174","1,694","3,159","4,814", , 
펼치기 EV/EBITDA,31.59,44.81,-36.70,39.80,34.09,14.42,-14.35,-57.69
  EV＜당기＞,577.3,312.4,262.8,646.1,"1,991.8","1,932.7", , 
  EBITDA＜당기＞,18.3,7.0,-7.2,16.2,58.4,134.0, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
