항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,24,52,24,2,23,,"1,372", 
  당기순이익(지배)＜당기＞,28.3,60.7,30.5,2.1,31.7,, , 
  보통주수정평균발행주식수＜당기＞,"116,985,721","117,062,582","125,687,341","138,892,244","138,892,244",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,837,888,"1,297","1,304","1,330",,2, 
  자본총계(지배)＜당기＞,979.4,"1,039.8","1,801.6","1,811.3","1,847.0",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"117,062,607","117,062,582","138,892,244","138,892,244","138,892,244",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,17,8,22,21,41,,91, 
  영업활동현금흐름＜당기＞,19.5,8.9,28.2,29.4,56.3,, , 
  보통주수정평균발행주식수＜당기＞,"116,985,721","117,062,582","125,687,341","138,892,244","138,892,244",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,355,426,466,464,500,,8, 
  매출액＜당기＞,415.4,498.6,586.2,644.6,694.8,, , 
  보통주수정평균발행주식수＜당기＞,"116,985,721","117,062,582","125,687,341","138,892,244","138,892,244",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,245.56,77.95,175.07,"3,734.00",168.27,,-95.49, 
  보통주수정주가(기말)＜당기＞,"5,951","4,039","4,250","5,780","3,835","3,060", , 
  EPS＜당기＞,24,52,24,2,23,, , 
펼치기 PBR,7.11,4.55,3.28,4.43,2.88,,-34.93, 
  보통주수정주가(기말)＜당기＞,"5,951","4,039","4,250","5,780","3,835","3,060", , 
  BPS＜당기＞,837,888,"1,297","1,304","1,330",, , 
펼치기 PCR,357.34,533.13,189.20,272.66,94.63,,-65.29, 
  보통주수정주가(기말)＜당기＞,"5,951","4,039","4,250","5,780","3,835","3,060", , 
  CPS＜당기＞,17,8,22,21,41,, , 
펼치기 PSR,16.76,9.48,9.11,12.45,7.67,,-38.44, 
  보통주수정주가(기말)＜당기＞,"5,951","4,039","4,250","5,780","3,835","3,060", , 
  SPS＜당기＞,355,426,466,464,500,, , 
펼치기 EV/EBITDA,182.34,92.13,100.01,162.88,106.65,,-34.52, 
  EV＜당기＞,"6,224.1","4,066.7","4,710.0","6,935.1","4,428.2",, , 
  EBITDA＜당기＞,34.1,44.1,47.1,42.6,41.5,, , 
펼치기 DPS,0,0,,,,, , 
  현금DPS,0,0,,,,, , 
  주식DPS,0,0,,,,, , 
  현금배당수익률,0.00,0.00,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
