항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-273,289,-259,-281,-160,,43, 
  당기순이익(지배)＜당기＞,-34.8,37.2,-45.5,-54.9,-34.1,, , 
  보통주수정평균발행주식수＜당기＞,"12,725,575","12,882,031","17,578,103","19,514,323","21,335,321","28,437,965", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,199","2,078","3,172","2,907","3,198",,10, 
  자본총계(지배)＜당기＞,152.5,289.1,611.9,573.6,725.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"12,725,293","13,915,004","19,292,738","19,732,943","22,682,307","30,849,278", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,135,-136,-366,134,-438,,-427, 
  영업활동현금흐름＜당기＞,17.2,-17.5,-64.3,26.2,-93.4,, , 
  보통주수정평균발행주식수＜당기＞,"12,725,575","12,882,031","17,578,103","19,514,323","21,335,321","28,437,965", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"3,157","3,216","2,549","3,635","3,029",,-17, 
  매출액＜당기＞,401.7,414.3,448.1,709.3,646.2,, , 
  보통주수정평균발행주식수＜당기＞,"12,725,575","12,882,031","17,578,103","19,514,323","21,335,321","28,437,965", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,52.66,N/A,N/A,N/A,,3.71, 
  보통주수정주가(기말)＜당기＞,"9,328","15,208","8,798","7,127","3,904","2,770", , 
  EPS＜당기＞,-273,289,-259,-281,-160,, , 
펼치기 PBR,7.78,7.32,2.77,2.45,1.22,,-50.20, 
  보통주수정주가(기말)＜당기＞,"9,328","15,208","8,798","7,127","3,904","2,770", , 
  BPS＜당기＞,"1,199","2,078","3,172","2,907","3,198",, , 
펼치기 PCR,69.10,-111.67,-24.07,53.18,-8.92,,-116.77, 
  보통주수정주가(기말)＜당기＞,"9,328","15,208","8,798","7,127","3,904","2,770", , 
  CPS＜당기＞,135,-136,-366,134,-438,, , 
펼치기 PSR,2.96,4.73,3.45,1.96,1.29,,-34.26, 
  보통주수정주가(기말)＜당기＞,"9,328","15,208","8,798","7,127","3,904","2,770", , 
  SPS＜당기＞,"3,157","3,216","2,549","3,635","3,029",, , 
펼치기 EV/EBITDA,29.23,"-1,633.57",-72.33,37.67,-17.78,,-147.19, 
  EV＜당기＞,"1,294.4","2,177.5","1,467.9","1,544.8","1,047.9",, , 
  EBITDA＜당기＞,44.3,-1.3,-20.3,41.0,-58.9,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
