항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,222,311,104,-15,"3,860","3,787","25,985",-2
  당기순이익(지배)＜당기＞,202.1,282.8,94.9,-13.6,"3,508.3","3,442.0", , 
  보통주수정평균발행주식수＜당기＞,"90,895,434","90,895,434","90,895,434","90,895,434","90,895,434","90,895,434", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,933","3,011","3,151","3,099","7,347",,137, 
  자본총계(지배)＜당기＞,"2,528.8","2,596.0","2,716.8","2,672.3","6,678.4",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"86,219,436","86,219,436","86,219,436","86,219,436","90,895,434","90,895,434", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,440,196,3,156,487,"3,897",212,700
  영업활동현금흐름＜당기＞,399.6,178.3,2.3,141.7,442.8,-180.0, , 
  보통주수정평균발행주식수＜당기＞,"90,895,434","90,895,434","90,895,434","90,895,434","90,895,434","90,895,434", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"7,859","8,681","6,830","4,723","7,634","8,362",62,10
  매출액＜당기＞,"7,143.9","7,890.3","6,208.0","4,293.0","6,939.0","7,601.0", , 
  보통주수정평균발행주식수＜당기＞,"90,895,434","90,895,434","90,895,434","90,895,434","90,895,434","90,895,434", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,8.79,8.90,21.21,N/A,1.47,1.29,100.86,-12.52
  보통주수정주가(기말)＜당기＞,"1,955","2,770","2,215","2,540","5,680","4,875", , 
  EPS＜당기＞,222,311,104,-15,"3,860","3,787", , 
펼치기 PBR,0.67,0.92,0.70,0.82,0.77,,-5.67, 
  보통주수정주가(기말)＜당기＞,"1,955","2,770","2,215","2,540","5,680","4,875", , 
  BPS＜당기＞,"2,933","3,011","3,151","3,099","7,347",, , 
펼치기 PCR,4.45,14.12,856.96,16.29,11.66,1.25,-28.41,-89.27
  보통주수정주가(기말)＜당기＞,"1,955","2,770","2,215","2,540","5,680","4,875", , 
  CPS＜당기＞,440,196,3,156,487,"3,897", , 
펼치기 PSR,0.25,0.32,0.32,0.54,0.74,0.58,38.35,-21.65
  보통주수정주가(기말)＜당기＞,"1,955","2,770","2,215","2,540","5,680","4,875", , 
  SPS＜당기＞,"7,859","8,681","6,830","4,723","7,634","8,362", , 
펼치기 EV/EBITDA,18.11,7.50,22.99,-54.96,9.66,4.27,117.57,-55.75
  EV＜당기＞,"4,152.4","4,894.2","4,792.8","4,850.8","7,309.7","3,371.2", , 
  EBITDA＜당기＞,229.2,652.9,208.5,-88.3,757.0,789.0, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,0.00, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
