항목,2017/12,2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-25,-55,-174,18,58,,218, 
  당기순이익(지배)＜당기＞,-13.2,-29.3,-111.8,11.8,39.0,, , 
  보통주수정평균발행주식수＜당기＞,"51,753,446","52,830,995","63,199,801","64,736,781","67,591,026","68,076,186", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,366,391,178,203,271,,34, 
  자본총계(지배)＜당기＞,193.2,206.5,115.1,134.6,184.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"52,818,430","52,818,430","64,591,399","66,327,510","68,063,621","68,063,621", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,33,-9,-21,-68,9,,113, 
  영업활동현금흐름＜당기＞,17.0,-4.7,-13.4,-44.3,6.1,, , 
  보통주수정평균발행주식수＜당기＞,"51,753,446","52,830,995","63,199,801","64,736,781","67,591,026","68,076,186", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,645,534,203,207,311,,50, 
  매출액＜당기＞,333.7,282.0,128.3,134.3,210.0,, , 
  보통주수정평균발행주식수＜당기＞,"51,753,446","52,830,995","63,199,801","64,736,781","67,591,026","68,076,186", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,35.19,11.07,,-68.55, 
  보통주수정주가(기말)＜당기＞,855,557,639,639,639,903, , 
  EPS＜당기＞,-25,-55,-174,18,58,, , 
펼치기 PBR,2.34,1.42,3.59,3.15,2.36,,-25.21, 
  보통주수정주가(기말)＜당기＞,855,557,639,639,639,903, , 
  BPS＜당기＞,366,391,178,203,271,, , 
펼치기 PCR,26.01,-62.28,-30.11,-9.33,70.40,,854.46, 
  보통주수정주가(기말)＜당기＞,855,557,639,639,639,903, , 
  CPS＜당기＞,33,-9,-21,-68,9,, , 
펼치기 PSR,1.33,1.04,3.15,3.08,2.06,,-33.26, 
  보통주수정주가(기말)＜당기＞,855,557,639,639,639,903, , 
  SPS＜당기＞,645,534,203,207,311,, , 
펼치기 EV/EBITDA,17.93,30.62,24.24,80.11,18.46,,-76.96, 
  EV＜당기＞,455.8,307.2,360.0,417.2,399.8,, , 
  EBITDA＜당기＞,25.4,10.0,14.8,5.2,21.7,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,,0.00,0.00,,, , 
