항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,212,371,484,"1,070",871,"1,254",-19,44
  당기순이익(지배)＜당기＞,31.7,55.6,72.4,167.8,164.6,250.0, , 
  보통주수정평균발행주식수＜당기＞,"14,960,000","14,960,000","14,960,000","15,687,641","18,905,746","19,938,160", , 
  우선주수정평균발행주식수＜당기＞,974,"1,132","1,132",718,0,0, , 
펼치기 BPS,"1,382","1,721","2,196","3,626","7,108",,96, 
  자본총계(지배)＜당기＞,206.8,257.4,328.5,614.5,"1,395.9",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"14,960,000","14,960,000","14,960,000","16,947,436","19,638,160","19,638,160", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"1,132","1,132","1,132",0,0,0, , 
펼치기 CPS,263,463,305,"1,418",984,,-31, 
  영업활동현금흐름＜당기＞,39.4,69.2,45.6,222.5,186.0,, , 
  보통주수정평균발행주식수＜당기＞,"14,960,000","14,960,000","14,960,000","15,687,641","18,905,746","19,938,160", , 
  우선주수정평균발행주식수＜당기＞,974,"1,132","1,132",718,0,0, , 
펼치기 SPS,"1,888","2,553","3,182","9,101","8,433","10,733",-7,27
  매출액＜당기＞,282.5,381.9,476.1,"1,427.9","1,594.3","2,140.0", , 
  보통주수정평균발행주식수＜당기＞,"14,960,000","14,960,000","14,960,000","15,687,641","18,905,746","19,938,160", , 
  우선주수정평균발행주식수＜당기＞,974,"1,132","1,132",718,0,0, , 
펼치기 PER,,,,,15.62,9.21, ,-41.01
  보통주수정주가(기말)＜당기＞,,,,,"13,600","11,550", , 
  EPS＜당기＞,212,371,484,"1,070",871,"1,254", , 
펼치기 PBR,0.00,0.00,0.00,0.00,1.91,, , 
  보통주수정주가(기말)＜당기＞,,,,,"13,600","11,550", , 
  BPS＜당기＞,"1,382","1,721","2,196","3,626","7,108",, , 
펼치기 PCR,,,,,13.83,, , 
  보통주수정주가(기말)＜당기＞,,,,,"13,600","11,550", , 
  CPS＜당기＞,263,463,305,"1,418",984,, , 
펼치기 PSR,,,,,1.61,1.08, ,-33.27
  보통주수정주가(기말)＜당기＞,,,,,"13,600","11,550", , 
  SPS＜당기＞,"1,888","2,553","3,182","9,101","8,433","10,733", , 
펼치기 EV/EBITDA,,,,,8.59,, , 
  EV＜당기＞,,,,,"2,117.6","1,612.9", , 
  EBITDA＜당기＞,48.3,73.7,92.7,268.8,246.4,, , 
펼치기 DPS,0,20,32,0,300,, , 
  현금DPS,0,20,32,0,300,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,2.21,, , 
  현금배당성향(%),0.00,5.71,6.91,0.00,16.71,,16.71, 
