항목,"2017/06
(IFRS별도)","2018/06
(IFRS별도)","2019/06
(IFRS별도)","2020/06
(IFRS별도)","2021/06
(IFRS별도)","2022/06(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,224,163,145,"7,553",83,,-99, 
  당기순이익(지배)＜당기＞,35.8,26.0,23.2,"1,207.0",13.2,, , 
  보통주수정평균발행주식수＜당기＞,"15,980,000","15,980,000","15,980,000","15,980,000","15,980,000","15,980,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"4,730","4,861","4,957","13,751","13,794",,0, 
  자본총계(지배)＜당기＞,649.8,667.7,680.9,"1,888.9","1,894.7",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"13,736,070","13,736,070","13,736,070","13,736,070","13,736,070","13,736,070", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,255,186,-100,-86,"-2,251",,"-2,511", 
  영업활동현금흐름＜당기＞,40.7,29.7,-16.0,-13.8,-359.7,, , 
  보통주수정평균발행주식수＜당기＞,"15,980,000","15,980,000","15,980,000","15,980,000","15,980,000","15,980,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"3,184","3,021","3,297","3,057","2,778",,-9, 
  매출액＜당기＞,508.8,482.7,526.8,488.5,444.0,, , 
  보통주수정평균발행주식수＜당기＞,"15,980,000","15,980,000","15,980,000","15,980,000","15,980,000","15,980,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,25.89,64.15,71.39,1.28,161.78,,"12,562.64", 
  보통주수정주가(기말)＜당기＞,"5,800","10,450","10,350","9,650","13,350","9,240", , 
  EPS＜당기＞,224,163,145,"7,553",83,, , 
펼치기 PBR,1.23,2.15,2.09,0.70,0.97,,37.92, 
  보통주수정주가(기말)＜당기＞,"5,800","10,450","10,350","9,650","13,350","9,240", , 
  BPS＜당기＞,"4,730","4,861","4,957","13,751","13,794",, , 
펼치기 PCR,22.79,56.20,-103.26,-111.92,-5.93,,94.70, 
  보통주수정주가(기말)＜당기＞,"5,800","10,450","10,350","9,650","13,350","9,240", , 
  CPS＜당기＞,255,186,-100,-86,"-2,251",, , 
펼치기 PSR,1.82,3.46,3.14,3.16,4.80,,52.22, 
  보통주수정주가(기말)＜당기＞,"5,800","10,450","10,350","9,650","13,350","9,240", , 
  SPS＜당기＞,"3,184","3,021","3,297","3,057","2,778",, , 
펼치기 EV/EBITDA,15.07,31.55,37.02,32.92,192.11,,483.47, 
  EV＜당기＞,935.0,"1,660.8","1,712.8","1,313.2","1,004.7",, , 
  EBITDA＜당기＞,62.1,52.6,46.3,39.9,5.2,, , 
펼치기 DPS,50,50,50,50,50,,0, 
  현금DPS,50,50,50,50,50,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.86,0.48,0.48,0.52,0.37,,-0.14, 
  현금배당성향(%),19.19,26.38,29.65,0.57,52.08,,51.52, 
