항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,24,-18,23,157,-333,,-313, 
  당기순이익(지배)＜당기＞,9.9,-7.4,9.4,64.0,-136.4,, , 
  보통주수정평균발행주식수＜당기＞,"40,910,160","40,910,160","40,910,160","40,910,160","40,910,160","42,541,544", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,137,87,110,280,575,,105, 
  자본총계(지배)＜당기＞,56.1,35.8,45.1,114.6,235.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"40,910,160","40,910,160","40,910,160","40,910,160","40,910,160","42,765,160", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,4,163,-17,-78,-89,,-14, 
  영업활동현금흐름＜당기＞,1.6,66.8,-6.8,-31.9,-36.5,, , 
  보통주수정평균발행주식수＜당기＞,"40,910,160","40,910,160","40,910,160","40,910,160","40,910,160","42,541,544", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,958,884,"1,061","1,551","1,896",,22, 
  매출액＜당기＞,391.7,361.5,434.1,634.6,775.5,, , 
  보통주수정평균발행주식수＜당기＞,"40,910,160","40,910,160","40,910,160","40,910,160","40,910,160","42,541,544", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,300","1,850", , 
  EPS＜당기＞,24,-18,23,157,-333,, , 
펼치기 PBR,,,,,4.00,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,300","1,850", , 
  BPS＜당기＞,137,87,110,280,575,, , 
펼치기 PCR,,,,,-25.79,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,300","1,850", , 
  CPS＜당기＞,4,163,-17,-78,-89,, , 
펼치기 PSR,,,,,1.21,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,300","1,850", , 
  SPS＜당기＞,958,884,"1,061","1,551","1,896",, , 
펼치기 EV/EBITDA,,,,,147.61,, , 
  EV＜당기＞,,,,,914.5,, , 
  EBITDA＜당기＞,20.0,-2.2,9.7,59.8,6.2,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,0.00,0.00,,, , 
  현금배당성향(%),,,0.00,0.00,,, , 
