항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,269,174,-164,-524,"-1,637",,-212, 
  당기순이익(지배)＜당기＞,10.7,7.7,-7.8,-25.7,-88.4,, , 
  보통주수정평균발행주식수＜당기＞,"3,974,060","4,405,530","4,724,670","4,909,423","5,400,602","5,572,860", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,237","3,254","3,156","5,919","5,853",,-1, 
  자본총계(지배)＜당기＞,49.2,153.8,149.1,317.9,323.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"3,974,060","4,724,670","4,724,670","5,371,634","5,518,354","5,557,644", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,217,468,74,"1,024","-1,899",,-285, 
  영업활동현금흐름＜당기＞,8.6,20.6,3.5,50.3,-102.5,, , 
  보통주수정평균발행주식수＜당기＞,"3,974,060","4,405,530","4,724,670","4,909,423","5,400,602","5,572,860", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"3,532","3,201","3,450","5,209","8,262",,59, 
  매출액＜당기＞,140.4,141.0,163.0,255.7,446.2,, , 
  보통주수정평균발행주식수＜당기＞,"3,974,060","4,405,530","4,724,670","4,909,423","5,400,602","5,572,860", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,N/A,N/A,,48.46, 
  보통주수정주가(기말)＜당기＞,,,,"33,300","53,600","35,750", , 
  EPS＜당기＞,269,174,-164,-524,"-1,637",, , 
펼치기 PBR,0.00,0.00,0.00,5.63,9.16,,62.76, 
  보통주수정주가(기말)＜당기＞,,,,"33,300","53,600","35,750", , 
  BPS＜당기＞,"1,237","3,254","3,156","5,919","5,853",, , 
펼치기 PCR,,,,32.51,-28.23,,-186.83, 
  보통주수정주가(기말)＜당기＞,,,,"33,300","53,600","35,750", , 
  CPS＜당기＞,217,468,74,"1,024","-1,899",, , 
펼치기 PSR,,,,6.39,6.49,,1.48, 
  보통주수정주가(기말)＜당기＞,,,,"33,300","53,600","35,750", , 
  SPS＜당기＞,"3,532","3,201","3,450","5,209","8,262",, , 
펼치기 EV/EBITDA,,,,-67.03,-38.27,,42.91, 
  EV＜당기＞,,,,"1,668.1","2,955.4",, , 
  EBITDA＜당기＞,21.2,17.9,2.8,-24.9,-77.2,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
