항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-323,"-1,126",-537,-482,-429,,11, 
  당기순이익(지배)＜당기＞,-18.9,-73.4,-38.5,-38.4,-38.3,, , 
  보통주수정평균발행주식수＜당기＞,"3,475,514","3,636,744","5,043,493","7,521,566","8,466,126","8,483,748", , 
  우선주수정평균발행주식수＜당기＞,"2,359,996","2,888,116","2,134,063","460,000","460,000","460,000", , 
펼치기 BPS,473,"-2,611",924,"3,942","3,525",,-11, 
  자본총계(지배)＜당기＞,28.0,-182.6,69.4,351.8,314.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"3,550,804","3,982,804","7,049,126","8,466,126","8,466,126","8,490,126", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"2,359,996","3,011,342","460,000","460,000","460,000","460,000", , 
펼치기 CPS,-288,-322,-344,-427,-389,,9, 
  영업활동현금흐름＜당기＞,-16.8,-21.0,-24.7,-34.1,-34.7,, , 
  보통주수정평균발행주식수＜당기＞,"3,475,514","3,636,744","5,043,493","7,521,566","8,466,126","8,483,748", , 
  우선주수정평균발행주식수＜당기＞,"2,359,996","2,888,116","2,134,063","460,000","460,000","460,000", , 
펼치기 SPS,29,42,57,29,30,,5, 
  매출액＜당기＞,1.7,2.8,4.1,2.3,2.7,, , 
  보통주수정평균발행주식수＜당기＞,"3,475,514","3,636,744","5,043,493","7,521,566","8,466,126","8,483,748", , 
  우선주수정평균발행주식수＜당기＞,"2,359,996","2,888,116","2,134,063","460,000","460,000","460,000", , 
펼치기 PER,,,,N/A,N/A,,29.15, 
  보통주수정주가(기말)＜당기＞,,,,"27,000","17,050","10,100", , 
  EPS＜당기＞,-323,"-1,126",-537,-482,-429,, , 
펼치기 PBR,0.00,0.00,0.00,6.85,4.84,,-29.38, 
  보통주수정주가(기말)＜당기＞,,,,"27,000","17,050","10,100", , 
  BPS＜당기＞,473,"-2,611",924,"3,942","3,525",, , 
펼치기 PCR,,,,-63.22,-43.80,,30.71, 
  보통주수정주가(기말)＜당기＞,,,,"27,000","17,050","10,100", , 
  CPS＜당기＞,-288,-322,-344,-427,-389,, , 
펼치기 PSR,,,,943.09,565.19,,-40.07, 
  보통주수정주가(기말)＜당기＞,,,,"27,000","17,050","10,100", , 
  SPS＜당기＞,29,42,57,29,30,, , 
펼치기 EV/EBITDA,,,,-54.22,-33.14,,38.88, 
  EV＜당기＞,,,,"1,938.4","1,202.4",, , 
  EBITDA＜당기＞,-17.7,-31.8,-30.1,-35.7,-36.3,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
