항목,,,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,2,-2,,-215, 
  당기순이익(지배)＜당기＞,,,,0.0,-0.1,, , 
  보통주수정평균발행주식수＜당기＞,,,,"2,488,484","3,009,000","3,009,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 BPS,,,,"1,810","1,808",,-0, 
  자본총계(지배)＜당기＞,,,,54.5,54.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,0,"3,009,000","3,009,000","3,009,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,0,0,0,0, , 
펼치기 CPS,,,,-11,6,,152, 
  영업활동현금흐름＜당기＞,,,,-0.3,0.2,, , 
  보통주수정평균발행주식수＜당기＞,,,,"2,488,484","3,009,000","3,009,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 SPS,,,,0,0,, , 
  매출액＜당기＞,,,,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,"2,488,484","3,009,000","3,009,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 PER,,,,"1,262.41",N/A,,-189.89, 
  보통주수정주가(기말)＜당기＞,,,,"2,055","2,115","2,150", , 
  EPS＜당기＞,,,,2,-2,, , 
펼치기 PBR,,,,1.14,1.17,,3.03, 
  보통주수정주가(기말)＜당기＞,,,,"2,055","2,115","2,150", , 
  BPS＜당기＞,,,,"1,810","1,808",, , 
펼치기 PCR,,,,-187.74,369.62,,296.88, 
  보통주수정주가(기말)＜당기＞,,,,"2,055","2,115","2,150", , 
  CPS＜당기＞,,,,-11,6,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,"2,055","2,115","2,150", , 
  SPS＜당기＞,,,,0,0,, , 
펼치기 EV/EBITDA,,,,-206.68,-187.00,,9.52, 
  EV＜당기＞,,,,57.7,60.0,, , 
  EBITDA＜당기＞,,,,-0.3,-0.3,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,0.00,,, , 
