항목,,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,-63,-10,-13,,-35, 
  당기순이익(지배)＜당기＞,,,-0.2,-0.3,-0.4,, , 
  보통주수정평균발행주식수＜당기＞,,,"303,342","3,120,000","3,120,000","6,617,624", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 BPS,,,"1,919","1,909","1,896",,-1, 
  자본총계(지배)＜당기＞,,,59.9,59.6,59.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,0,"3,120,000","3,120,000","3,120,000","15,636,007", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,0,0,0,0,0, , 
펼치기 CPS,,,-41,-10,-8,,14, 
  영업활동현금흐름＜당기＞,,,-0.1,-0.3,-0.3,, , 
  보통주수정평균발행주식수＜당기＞,,,"303,342","3,120,000","3,120,000","6,617,624", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 SPS,,,0,0,0,, , 
  매출액＜당기＞,,,0.0,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,"303,342","3,120,000","3,120,000","6,617,624", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 PER,,,N/A,N/A,N/A,,26.69, 
  보통주수정주가(기말)＜당기＞,,,"2,045","2,170","2,155","2,445", , 
  EPS＜당기＞,,,-63,-10,-13,, , 
펼치기 PBR,,,1.07,1.14,1.14,,0.01, 
  보통주수정주가(기말)＜당기＞,,,"2,045","2,170","2,155","2,445", , 
  BPS＜당기＞,,,"1,919","1,909","1,896",, , 
펼치기 PCR,,,-50.38,-221.91,-257.59,,-16.08, 
  보통주수정주가(기말)＜당기＞,,,"2,045","2,170","2,155","2,445", , 
  CPS＜당기＞,,,-41,-10,-8,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,"2,045","2,170","2,155","2,445", , 
  SPS＜당기＞,,,0,0,0,, , 
펼치기 EV/EBITDA,,,-261.64,-80.63,-91.98,,-14.07, 
  EV＜당기＞,,,61.6,66.7,67.1,, , 
  EBITDA＜당기＞,,,-0.2,-0.8,-0.7,, , 
펼치기 DPS,,,0,0,0,, , 
  현금DPS,,,0,0,0,, , 
  주식DPS,,,0,0,0,, , 
  현금배당수익률,,,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),,,0.00,0.00,,, , 
