항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-40,-874,-583,-804,-166,,79, 
  당기순이익(지배)＜당기＞,-1.2,-25.4,-16.9,-25.1,-6.9,, , 
  보통주수정평균발행주식수＜당기＞,"2,456,661","2,437,413","2,437,413","2,683,558","4,095,001","4,288,920", , 
  우선주수정평균발행주식수＜당기＞,"474,694","468,725","461,802","439,479","48,889",0, , 
펼치기 BPS,"2,181","1,307",750,"1,861","7,212",,288, 
  자본총계(지배)＜당기＞,63.5,37.9,21.7,63.0,304.1,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"2,437,413","2,437,413","2,437,413","3,118,587","4,216,202","4,216,202", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"474,694","461,802","461,802","266,333",0,0, , 
펼치기 CPS,-56,-348,111,-68,-427,,-526, 
  영업활동현금흐름＜당기＞,-1.6,-10.1,3.2,-2.1,-17.7,, , 
  보통주수정평균발행주식수＜당기＞,"2,456,661","2,437,413","2,437,413","2,683,558","4,095,001","4,288,920", , 
  우선주수정평균발행주식수＜당기＞,"474,694","468,725","461,802","439,479","48,889",0, , 
펼치기 SPS,"1,633","1,554","1,372","1,357",985,,-27, 
  매출액＜당기＞,47.9,45.2,39.8,42.4,40.8,, , 
  보통주수정평균발행주식수＜당기＞,"2,456,661","2,437,413","2,437,413","2,683,558","4,095,001","4,288,920", , 
  우선주수정평균발행주식수＜당기＞,"474,694","468,725","461,802","439,479","48,889",0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"76,200","28,000", , 
  EPS＜당기＞,-40,-874,-583,-804,-166,, , 
펼치기 PBR,0.00,0.00,0.00,0.00,10.57,, , 
  보통주수정주가(기말)＜당기＞,,,,,"76,200","28,000", , 
  BPS＜당기＞,"2,181","1,307",750,"1,861","7,212",, , 
펼치기 PCR,,,,,-178.54,, , 
  보통주수정주가(기말)＜당기＞,,,,,"76,200","28,000", , 
  CPS＜당기＞,-56,-348,111,-68,-427,, , 
펼치기 PSR,,,,,77.33,, , 
  보통주수정주가(기말)＜당기＞,,,,,"76,200","28,000", , 
  SPS＜당기＞,"1,633","1,554","1,372","1,357",985,, , 
펼치기 EV/EBITDA,,,,,-412.92,, , 
  EV＜당기＞,,,,,"3,172.9",, , 
  EBITDA＜당기＞,11.1,-10.8,0.5,-0.2,-7.7,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
