항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,166,63,-174,320,832,720,160,-13
  당기순이익(지배)＜당기＞,8.1,3.0,-8.2,16.9,58.4,54.0, , 
  보통주수정평균발행주식수＜당기＞,"4,368,000","4,243,857","4,176,000","5,029,926","7,026,442","7,500,789", , 
  우선주수정평균발행주식수＜당기＞,"545,440","545,440","545,440","260,798",0,0, , 
펼치기 BPS,"1,546","1,592","1,418","1,411","4,160",,195, 
  자본총계(지배)＜당기＞,76.0,75.1,66.9,82.0,312.1,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,368,000","4,176,000","4,176,000","5,812,320","7,500,789","7,500,789", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"545,440","545,440","545,440",0,0,0, , 
펼치기 CPS,207,-510,"1,071","1,207",4,,-100, 
  영업활동현금흐름＜당기＞,10.2,-24.4,50.6,63.8,0.3,, , 
  보통주수정평균발행주식수＜당기＞,"4,368,000","4,243,857","4,176,000","5,029,926","7,026,442","7,500,789", , 
  우선주수정평균발행주식수＜당기＞,"545,440","545,440","545,440","260,798",0,0, , 
펼치기 SPS,"5,712","7,279","6,385","6,443","6,495","7,339",1,13
  매출액＜당기＞,280.7,348.6,301.5,340.9,456.4,550.5, , 
  보통주수정평균발행주식수＜당기＞,"4,368,000","4,243,857","4,176,000","5,029,926","7,026,442","7,500,789", , 
  우선주수정평균발행주식수＜당기＞,"545,440","545,440","545,440","260,798",0,0, , 
펼치기 PER,,,,,35.11,40.07, ,14.14
  보통주수정주가(기말)＜당기＞,,,,,"29,200","28,850", , 
  EPS＜당기＞,166,63,-174,320,832,720, , 
펼치기 PBR,0.00,0.00,0.00,0.00,7.02,, , 
  보통주수정주가(기말)＜당기＞,,,,,"29,200","28,850", , 
  BPS＜당기＞,"1,546","1,592","1,418","1,411","4,160",, , 
펼치기 PCR,,,,,"7,709.92",, , 
  보통주수정주가(기말)＜당기＞,,,,,"29,200","28,850", , 
  CPS＜당기＞,207,-510,"1,071","1,207",4,, , 
펼치기 PSR,,,,,4.50,3.93, ,-12.56
  보통주수정주가(기말)＜당기＞,,,,,"29,200","28,850", , 
  SPS＜당기＞,"5,712","7,279","6,385","6,443","6,495","7,339", , 
펼치기 EV/EBITDA,,,,,42.47,, , 
  EV＜당기＞,,,,,"2,146.6",, , 
  EBITDA＜당기＞,17.9,12.1,-3.8,33.3,50.5,, , 
펼치기 DPS,0,0,0,0,50,, , 
  현금DPS,0,0,0,0,50,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,,,0.17,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,6.42,,6.42, 
