항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-350,-359,"-1,259",-843,407,943,148,132
  당기순이익(지배)＜당기＞,-18.1,-20.7,-76.3,-56.8,36.3,86.8, , 
  보통주수정평균발행주식수＜당기＞,"4,026,302","4,120,000","4,120,000","5,491,014","8,938,142","9,201,852", , 
  우선주수정평균발행주식수＜당기＞,"1,151,964","1,657,077","1,935,376","1,249,869",0,0, , 
펼치기 BPS,"1,096","1,483","-2,609",769,"2,119","2,897",175,37
  자본총계(지배)＜당기＞,60.6,89.8,-158.0,61.5,193.5,266.8, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,120,000","4,120,000","4,120,000","7,990,752","9,133,932","9,206,632", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"1,409,060","1,935,376","1,935,376",0,0,0, , 
펼치기 CPS,-322,-550,-45,-185,-7,"1,054",96,"16,248"
  영업활동현금흐름＜당기＞,-16.7,-31.8,-2.7,-12.5,-0.6,67.8, , 
  보통주수정평균발행주식수＜당기＞,"4,026,302","4,120,000","4,120,000","5,491,014","8,938,142","9,201,852", , 
  우선주수정평균발행주식수＜당기＞,"1,151,964","1,657,077","1,935,376","1,249,869",0,0, , 
펼치기 SPS,970,"1,046","1,177","1,267","2,692","4,591",112,71
  매출액＜당기＞,50.2,60.4,71.3,85.4,240.6,422.5, , 
  보통주수정평균발행주식수＜당기＞,"4,026,302","4,120,000","4,120,000","5,491,014","8,938,142","9,201,852", , 
  우선주수정평균발행주식수＜당기＞,"1,151,964","1,657,077","1,935,376","1,249,869",0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,71.82,26.94,557.07,-62.48
  보통주수정주가(기말)＜당기＞,"4,600","4,500","6,500","13,250","29,200","25,400", , 
  EPS＜당기＞,-350,-359,"-1,259",-843,407,943, , 
펼치기 PBR,4.20,3.03,N/A,17.23,13.78,8.77,-19.99,-36.40
  보통주수정주가(기말)＜당기＞,"4,600","4,500","6,500","13,250","29,200","25,400", , 
  BPS＜당기＞,"1,096","1,483","-2,609",769,"2,119","2,897", , 
펼치기 PCR,-14.27,-8.18,-144.34,-71.49,"-4,473.20",24.10,"-6,156.94",100.54
  보통주수정주가(기말)＜당기＞,"4,600","4,500","6,500","13,250","29,200","25,400", , 
  CPS＜당기＞,-322,-550,-45,-185,-7,"1,054", , 
펼치기 PSR,4.74,4.30,5.52,10.46,10.85,5.53,3.72,-49.00
  보통주수정주가(기말)＜당기＞,"4,600","4,500","6,500","13,250","29,200","25,400", , 
  SPS＜당기＞,970,"1,046","1,177","1,267","2,692","4,591", , 
펼치기 EV/EBITDA,-20.40,-15.51,179.89,-215.09,61.10,23.65,128.41,-61.29
  EV＜당기＞,217.8,205.1,549.0,"1,101.4","2,660.2","2,306.2", , 
  EBITDA＜당기＞,-10.7,-13.2,3.1,-5.1,43.5,97.5, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,0.00, , 
  현금배당성향(%),0.00,,0.00,0.00,,, , 
