항목,2017/12,2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,772","1,977","1,236","1,059","1,048",,-1, 
  당기순이익(지배)＜당기＞,152.8,170.5,106.6,91.3,90.4,, , 
  보통주수정평균발행주식수＜당기＞,"8,625,000","8,625,000","8,625,000","8,625,000","8,625,000","8,625,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"6,957","8,719","9,685","10,736","11,584",,8, 
  자본총계(지배)＜당기＞,600.0,752.0,815.4,861.9,930.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"8,625,000","8,625,000","8,419,167","8,027,814","8,027,814","8,027,814", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"1,673","3,178",487,"1,191",-801,,-167, 
  영업활동현금흐름＜당기＞,144.3,274.1,42.0,102.7,-69.1,, , 
  보통주수정평균발행주식수＜당기＞,"8,625,000","8,625,000","8,625,000","8,625,000","8,625,000","8,625,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"13,606","14,763","12,122","12,021","11,122",,-7, 
  매출액＜당기＞,"1,173.5","1,273.3","1,045.5","1,036.8",959.3,, , 
  보통주수정평균발행주식수＜당기＞,"8,625,000","8,625,000","8,625,000","8,625,000","8,625,000","8,625,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,5.33,5.46,6.49,7.67,9.11,,18.84, 
  보통주수정주가(기말)＜당기＞,"9,440","10,800","8,020","8,120","9,550","9,570", , 
  EPS＜당기＞,"1,772","1,977","1,236","1,059","1,048",, , 
펼치기 PBR,1.36,1.24,0.83,0.76,0.82,,9.00, 
  보통주수정주가(기말)＜당기＞,"9,440","10,800","8,020","8,120","9,550","9,570", , 
  BPS＜당기＞,"6,957","8,719","9,685","10,736","11,584",, , 
펼치기 PCR,5.64,3.40,16.47,6.82,-11.93,,-274.96, 
  보통주수정주가(기말)＜당기＞,"9,440","10,800","8,020","8,120","9,550","9,570", , 
  CPS＜당기＞,"1,673","3,178",487,"1,191",-801,, , 
펼치기 PSR,0.69,0.73,0.66,0.68,0.86,,27.12, 
  보통주수정주가(기말)＜당기＞,"9,440","10,800","8,020","8,120","9,550","9,570", , 
  SPS＜당기＞,"13,606","14,763","12,122","12,021","11,122",, , 
펼치기 EV/EBITDA,2.37,1.98,2.29,3.44,9.93,,188.92, 
  EV＜당기＞,428.9,416.5,264.5,366.0,584.6,, , 
  EBITDA＜당기＞,181.3,209.8,115.4,106.5,58.9,, , 
펼치기 DPS,200,300,300,350,350,,0, 
  현금DPS,200,300,300,350,350,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,2.12,2.78,3.74,4.31,3.66,,-0.65, 
  현금배당성향(%),11.29,15.18,23.70,30.76,31.08,,0.32, 
