항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,237,339,254,226,314,360,39,15
  당기순이익(지배)＜당기＞,98.8,141.0,105.8,94.1,130.6,150.0, , 
  보통주수정평균발행주식수＜당기＞,"41,642,703","41,642,703","41,642,703","41,642,703","41,642,703","41,642,703", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,985","2,119","2,160","2,315","2,511","2,786",8,11
  자본총계(지배)＜당기＞,826.7,882.5,899.6,964.0,"1,045.6","1,160.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"41,642,694","41,642,694","41,642,694","41,642,694","41,642,694",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,224,236,193,304,82,396,-73,384
  영업활동현금흐름＜당기＞,93.4,98.4,80.3,126.4,34.1,140.0, , 
  보통주수정평균발행주식수＜당기＞,"41,642,703","41,642,703","41,642,703","41,642,703","41,642,703","41,642,703", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"6,192","7,227","6,933","6,133","7,778","8,948",27,15
  매출액＜당기＞,"2,578.3","3,009.7","2,887.0","2,554.0","3,238.8","3,726.0", , 
  보통주수정평균발행주식수＜당기＞,"41,642,703","41,642,703","41,642,703","41,642,703","41,642,703","41,642,703", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,9.65,19.40,18.82,20.40,24.93,18.18,22.18,-27.05
  보통주수정주가(기말)＜당기＞,"2,290","6,570","4,780","4,610","7,820","6,550", , 
  EPS＜당기＞,237,339,254,226,314,360, , 
펼치기 PBR,1.15,3.10,2.21,1.99,3.11,2.35,56.39,-24.50
  보통주수정주가(기말)＜당기＞,"2,290","6,570","4,780","4,610","7,820","6,550", , 
  BPS＜당기＞,"1,985","2,119","2,160","2,315","2,511","2,786", , 
펼치기 PCR,10.21,27.79,24.79,15.18,95.45,16.53,528.66,-82.68
  보통주수정주가(기말)＜당기＞,"2,290","6,570","4,780","4,610","7,820","6,550", , 
  CPS＜당기＞,224,236,193,304,82,396, , 
펼치기 PSR,0.37,0.91,0.69,0.75,1.01,0.73,33.77,-27.19
  보통주수정주가(기말)＜당기＞,"2,290","6,570","4,780","4,610","7,820","6,550", , 
  SPS＜당기＞,"6,192","7,227","6,933","6,133","7,778","8,948", , 
펼치기 EV/EBITDA,8.00,10.62,9.72,10.05,14.75,,46.80, 
  EV＜당기＞,"1,208.4","2,315.5","1,545.5","1,393.3","2,755.4",, , 
  EBITDA＜당기＞,151.1,217.9,159.1,138.7,186.8,211.0, , 
펼치기 DPS,75,80,80,80,80,,0, 
  현금DPS,75,80,80,80,80,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,3.28,1.22,1.67,1.74,1.02,1.22,-0.71,0.20
  현금배당성향(%),31.61,23.62,31.50,35.40,25.50,22.21,-9.90,-3.29
