항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-179,-31,-44,642,"4,418",,588, 
  당기순이익(지배)＜당기＞,-47.2,-8.5,-12.3,209.4,"1,512.0",, , 
  보통주수정평균발행주식수＜당기＞,"26,331,888","27,422,645","28,060,081","32,626,173","34,223,815","34,223,815", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,592,576,542,"1,424","5,908",,315, 
  자본총계(지배)＜당기＞,156.0,161.3,152.4,486.8,"2,020.1",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"26,327,345","28,012,305","28,143,214","34,194,111","34,194,111","33,804,111", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-113,-27,28,438,"5,991",,"1,267", 
  영업활동현금흐름＜당기＞,-29.7,-7.5,7.8,143.0,"2,050.2",, , 
  보통주수정평균발행주식수＜당기＞,"26,331,888","27,422,645","28,060,081","32,626,173","34,223,815","34,223,815", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,323,352,326,"1,401","9,404",,571, 
  매출액＜당기＞,85.1,96.6,91.5,457.2,"3,218.3",, , 
  보통주수정평균발행주식수＜당기＞,"26,331,888","27,422,645","28,060,081","32,626,173","34,223,815","34,223,815", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,N/A,N/A,N/A,14.80,3.78,,-74.47, 
  보통주수정주가(기말)＜당기＞,"2,030","1,365","1,390","9,500","16,700","15,000", , 
  EPS＜당기＞,-179,-31,-44,642,"4,418",, , 
펼치기 PBR,3.58,2.37,2.57,6.67,2.83,,-57.63, 
  보통주수정주가(기말)＜당기＞,"2,030","1,365","1,390","9,500","16,700","15,000", , 
  BPS＜당기＞,592,576,542,"1,424","5,908",, , 
펼치기 PCR,-18.80,-50.10,50.03,21.68,2.79,,-87.14, 
  보통주수정주가(기말)＜당기＞,"2,030","1,365","1,390","9,500","16,700","15,000", , 
  CPS＜당기＞,-113,-27,28,438,"5,991",, , 
펼치기 PSR,6.56,3.88,4.26,6.78,1.78,,-73.81, 
  보통주수정주가(기말)＜당기＞,"2,030","1,365","1,390","9,500","16,700","15,000", , 
  SPS＜당기＞,323,352,326,"1,401","9,404",, , 
펼치기 EV/EBITDA,191.49,-58.39,-114.24,12.02,1.93,,-83.99, 
  EV＜당기＞,500.2,286.6,320.1,"3,140.3","3,765.9",, , 
  EBITDA＜당기＞,2.6,-4.9,-2.8,261.2,"1,955.8",, , 
펼치기 DPS,0,0,0,0,200,, , 
  현금DPS,0,0,0,0,200,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,1.20,,1.20, 
  현금배당성향(%),0.00,0.00,0.00,0.00,4.52,,4.52, 
