항목,2017/12,2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,362,"1,430",279,"1,453","2,392",,65, 
  당기순이익(지배)＜당기＞,32.5,128.7,25.1,130.8,215.2,, , 
  보통주수정평균발행주식수＜당기＞,"9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"14,664","16,915","17,048","20,581","23,055",,12, 
  자본총계(지배)＜당기＞,"1,302.2","1,522.3","1,534.4","1,851.4","2,075.0",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"8,880,056","9,000,000","9,000,000","8,995,500","9,000,000","9,000,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,578,"2,097","1,841","3,197","2,760",,-14, 
  영업활동현금흐름＜당기＞,52.1,188.7,165.7,287.7,248.4,, , 
  보통주수정평균발행주식수＜당기＞,"9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"13,113","16,278","11,767","14,304","20,140",,41, 
  매출액＜당기＞,"1,180.2","1,465.0","1,059.0","1,287.4","1,812.6",, , 
  보통주수정평균발행주식수＜당기＞,"9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,13.83,5.05,22.49,6.50,5.00,,-23.15, 
  보통주수정주가(기말)＜당기＞,"5,000","7,225","6,275","9,450","11,950","10,150", , 
  EPS＜당기＞,362,"1,430",279,"1,453","2,392",, , 
펼치기 PBR,0.34,0.43,0.37,0.46,0.52,,12.88, 
  보통주수정주가(기말)＜당기＞,"5,000","7,225","6,275","9,450","11,950","10,150", , 
  BPS＜당기＞,"14,664","16,915","17,048","20,581","23,055",, , 
펼치기 PCR,8.64,3.45,3.41,2.96,4.33,,46.48, 
  보통주수정주가(기말)＜당기＞,"5,000","7,225","6,275","9,450","11,950","10,150", , 
  CPS＜당기＞,578,"2,097","1,841","3,197","2,760",, , 
펼치기 PSR,0.38,0.44,0.53,0.66,0.59,,-10.19, 
  보통주수정주가(기말)＜당기＞,"5,000","7,225","6,275","9,450","11,950","10,150", , 
  SPS＜당기＞,"13,113","16,278","11,767","14,304","20,140",, , 
펼치기 EV/EBITDA,9.97,5.71,6.35,3.85,2.77,,-28.18, 
  EV＜당기＞,989.7,"1,264.0",929.8,951.1,958.0,, , 
  EBITDA＜당기＞,99.3,221.2,146.3,246.8,346.2,, , 
펼치기 DPS,0,0,0,75,100,,33, 
  현금DPS,0,0,0,75,100,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.79,0.84,,0.04, 
  현금배당성향(%),0.00,0.00,0.00,5.15,4.18,,-0.97, 
