항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"-14,427",-132,-211,-120,-129,,-8, 
  당기순이익(지배)＜당기＞,-154.5,-9.5,-15.2,-8.6,-11.5,, , 
  보통주수정평균발행주식수＜당기＞,"1,071,221","7,200,000","7,200,000","7,200,000","8,704,822","9,460,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,"168,887","1,232,873", , 
펼치기 BPS,"2,833","2,934","2,719","2,628","3,827",,46, 
  자본총계(지배)＜당기＞,204.0,211.3,195.8,189.2,409.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"7,200,000","7,200,000","7,200,000","7,200,000","9,460,000","9,460,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,"1,232,873","1,232,873", , 
펼치기 CPS,618,-195,44,121,46,,-62, 
  영업활동현금흐름＜당기＞,6.6,-14.0,3.1,8.7,4.0,, , 
  보통주수정평균발행주식수＜당기＞,"1,071,221","7,200,000","7,200,000","7,200,000","8,704,822","9,460,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,"168,887","1,232,873", , 
펼치기 SPS,"16,088","2,147","2,129","2,324","1,716",,-26, 
  매출액＜당기＞,172.3,154.6,153.3,167.3,152.3,, , 
  보통주수정평균발행주식수＜당기＞,"1,071,221","7,200,000","7,200,000","7,200,000","8,704,822","9,460,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,"168,887","1,232,873", , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"9,350","7,330", , 
  EPS＜당기＞,"-14,427",-132,-211,-120,-129,, , 
펼치기 PBR,0.00,0.00,0.00,0.00,2.44,, , 
  보통주수정주가(기말)＜당기＞,,,,,"9,350","7,330", , 
  BPS＜당기＞,"2,833","2,934","2,719","2,628","3,827",, , 
펼치기 PCR,0.00,0.00,0.00,0.00,205.22,, , 
  보통주수정주가(기말)＜당기＞,,,,,"9,350","7,330", , 
  CPS＜당기＞,618,-195,44,121,46,, , 
펼치기 PSR,0.00,0.00,0.00,0.00,5.45,, , 
  보통주수정주가(기말)＜당기＞,,,,,"9,350","7,330", , 
  SPS＜당기＞,"16,088","2,147","2,129","2,324","1,716",, , 
펼치기 EV/EBITDA,,,,,-687.10,, , 
  EV＜당기＞,,,,,751.7,, , 
  EBITDA＜당기＞,-14.6,7.2,-1.6,6.4,-1.1,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
