항목,"2017/12
(GAAP개별)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,198,462,243,626,"1,657","1,960",165,18
  당기순이익(지배)＜당기＞,75.8,185.8,113.9,302.1,803.0,950.0, , 
  보통주수정평균발행주식수＜당기＞,"38,350,513","40,168,453","46,876,423","48,275,718","48,455,649","48,480,361", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,416","2,894","3,133","3,653","5,127","5,815",40,13
  자본총계(지배)＜당기＞,926.5,"1,186.1","1,512.4","1,763.5","2,459.5","2,790.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"38,350,512","40,979,393","48,275,718","48,275,718","47,975,311","47,975,311", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,298,-249,-565,-540,"-2,085",,-286, 
  영업활동현금흐름＜당기＞,114.2,-100.2,-265.1,-260.8,"-1,010.3",, , 
  보통주수정평균발행주식수＜당기＞,"38,350,513","40,168,453","46,876,423","48,275,718","48,455,649","48,480,361", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,425,"2,546","1,965","2,653","5,672",,114, 
  매출액＜당기＞,162.9,"1,022.9",920.9,"1,280.8","2,748.3",, , 
  보통주수정평균발행주식수＜당기＞,"38,350,513","40,168,453","46,876,423","48,275,718","48,455,649","48,480,361", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,12.69,8.30,4.86,3.99,-41.42,-17.95
  보통주수정주가(기말)＜당기＞,,,"3,084","5,195","8,060","7,820", , 
  EPS＜당기＞,198,462,243,626,"1,657","1,960", , 
펼치기 PBR,0.00,0.00,0.98,1.42,1.57,1.34,10.55,-14.47
  보통주수정주가(기말)＜당기＞,,,"3,084","5,195","8,060","7,820", , 
  BPS＜당기＞,"2,416","2,894","3,133","3,653","5,127","5,815", , 
펼치기 PCR,0.00,0.00,-5.45,-9.62,-3.87,,59.80, 
  보통주수정주가(기말)＜당기＞,,,"3,084","5,195","8,060","7,820", , 
  CPS＜당기＞,298,-249,-565,-540,"-2,085",, , 
펼치기 PSR,0.00,0.00,1.57,1.96,1.42,,-27.42, 
  보통주수정주가(기말)＜당기＞,,,"3,084","5,195","8,060","7,820", , 
  SPS＜당기＞,425,"2,546","1,965","2,653","5,672",, , 
펼치기 EV/EBITDA,,,4.25,4.76,3.57,,-24.95, 
  EV＜당기＞,,,706.8,"1,882.3","3,471.4",, , 
  EBITDA＜당기＞,85.0,218.7,166.2,395.5,972.0,, , 
펼치기 DPS,0,0,118,148,127,,-14, 
  현금DPS,0,0,118,148,79,, , 
  주식DPS,0,0,0,0,48,, , 
  현금배당수익률,,,3.81,2.84,0.98,1.98,-1.86,1.00
  현금배당성향(%),0.00,0.00,49.79,23.60,4.72,7.91,-18.88,3.19
