항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,502,870,"1,208",757,"1,026",,35, 
  당기순이익(지배)＜당기＞,70.3,121.9,169.1,106.0,153.1,, , 
  보통주수정평균발행주식수＜당기＞,"14,000,000","14,000,000","14,000,000","14,000,000","14,921,890","17,657,500", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,571","2,452","3,662","4,459","5,748",,29, 
  자본총계(지배)＜당기＞,220.0,343.3,512.7,624.3,"1,015.0",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"14,000,000","14,000,000","14,000,000","14,000,000","17,657,500","17,657,500", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-291,229,451,"1,033","1,312",,27, 
  영업활동현금흐름＜당기＞,-40.8,32.1,63.1,144.6,195.8,, , 
  보통주수정평균발행주식수＜당기＞,"14,000,000","14,000,000","14,000,000","14,000,000","14,921,890","17,657,500", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,387","1,464","1,169","15,836","17,682",,12, 
  매출액＜당기＞,334.2,205.0,163.7,"2,217.0","2,638.5",, , 
  보통주수정평균발행주식수＜당기＞,"14,000,000","14,000,000","14,000,000","14,000,000","14,921,890","17,657,500", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,,6.89,, , 
  보통주수정주가(기말)＜당기＞,,,,,"7,070","6,420", , 
  EPS＜당기＞,502,870,"1,208",757,"1,026",, , 
펼치기 PBR,0.00,0.00,0.00,0.00,1.23,, , 
  보통주수정주가(기말)＜당기＞,,,,,"7,070","6,420", , 
  BPS＜당기＞,"1,571","2,452","3,662","4,459","5,748",, , 
펼치기 PCR,,,,,5.39,, , 
  보통주수정주가(기말)＜당기＞,,,,,"7,070","6,420", , 
  CPS＜당기＞,-291,229,451,"1,033","1,312",, , 
펼치기 PSR,,,,,0.40,, , 
  보통주수정주가(기말)＜당기＞,,,,,"7,070","6,420", , 
  SPS＜당기＞,"2,387","1,464","1,169","15,836","17,682",, , 
펼치기 EV/EBITDA,,,,,2.41,, , 
  EV＜당기＞,,,,,563.7,, , 
  EBITDA＜당기＞,-0.4,13.3,30.1,196.9,234.0,, , 
펼치기 DPS,0,0,370,370,260,,-30, 
  현금DPS,0,0,370,370,260,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,3.68,, , 
  현금배당성향(%),0.00,0.00,30.64,48.87,30.00,,-18.88, 
