항목,,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,-41,-13,-1,,90, 
  당기순이익(지배)＜당기＞,,,-0.0,-0.3,-0.1,, , 
  보통주수정평균발행주식수＜당기＞,,,"65,671","2,116,557","4,010,000","4,010,000", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 BPS,,,"1,131","1,842","1,841",,-0, 
  자본총계(지배)＜당기＞,,,5.8,73.9,73.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,0,"510,000","4,010,000","4,010,000","4,010,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,0,0,0,0,0, , 
펼치기 CPS,,,-17,-13,3,,123, 
  영업활동현금흐름＜당기＞,,,-0.0,-0.3,0.1,, , 
  보통주수정평균발행주식수＜당기＞,,,"65,671","2,116,557","4,010,000","4,010,000", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 SPS,,,0,0,0,, , 
  매출액＜당기＞,,,0.0,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,"65,671","2,116,557","4,010,000","4,010,000", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 PER,,,,N/A,N/A,,-923.18, 
  보통주수정주가(기말)＜당기＞,,,,"2,055","2,160","2,185", , 
  EPS＜당기＞,,,-41,-13,-1,, , 
펼치기 PBR,,,0.00,1.13,1.17,,3.92, 
  보통주수정주가(기말)＜당기＞,,,,"2,055","2,160","2,185", , 
  BPS＜당기＞,,,"1,131","1,842","1,841",, , 
펼치기 PCR,,,,-157.19,718.16,,556.88, 
  보통주수정주가(기말)＜당기＞,,,,"2,055","2,160","2,185", , 
  CPS＜당기＞,,,-17,-13,3,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,"2,055","2,160","2,185", , 
  SPS＜당기＞,,,0,0,0,, , 
펼치기 EV/EBITDA,,,,-272.39,-470.74,,-72.82, 
  EV＜당기＞,,,,79.6,83.2,, , 
  EBITDA＜당기＞,,,-0.0,-0.3,-0.2,, , 
펼치기 DPS,,,0,,,, , 
  현금DPS,,,0,,,, , 
  주식DPS,,,0,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,0.00,0.00,,, , 
