항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,109,136,-478,44,192,,334, 
  당기순이익(지배)＜당기＞,25.6,32.3,-117.9,11.9,51.8,, , 
  보통주수정평균발행주식수＜당기＞,"23,443,848","23,696,300","24,678,567","26,855,199","26,957,669","26,979,634", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,351,484,980,996,"1,200",,21, 
  자본총계(지배)＜당기＞,83.0,114.7,262.4,267.8,323.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"23,631,265","23,720,694","26,787,045","26,881,790","26,979,562","26,979,562", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,51,254,115,120,174,,45, 
  영업활동현금흐름＜당기＞,12.0,60.2,28.5,32.2,46.9,, , 
  보통주수정평균발행주식수＜당기＞,"23,443,848","23,696,300","24,678,567","26,855,199","26,957,669","26,979,634", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,954,"1,023","1,000",887,"1,068",,20, 
  매출액＜당기＞,223.7,242.5,246.8,238.1,287.8,, , 
  보통주수정평균발행주식수＜당기＞,"23,443,848","23,696,300","24,678,567","26,855,199","26,957,669","26,979,634", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,N/A,132.69,26.22,,-80.24, 
  보통주수정주가(기말)＜당기＞,,,"4,585","5,880","5,040","4,885", , 
  EPS＜당기＞,109,136,-478,44,192,, , 
펼치기 PBR,,,4.68,5.90,4.20,,-28.87, 
  보통주수정주가(기말)＜당기＞,,,"4,585","5,880","5,040","4,885", , 
  BPS＜당기＞,351,484,980,996,"1,200",, , 
펼치기 PCR,,,39.70,49.02,28.99,,-40.86, 
  보통주수정주가(기말)＜당기＞,,,"4,585","5,880","5,040","4,885", , 
  CPS＜당기＞,51,254,115,120,174,, , 
펼치기 PSR,,,4.58,6.63,4.72,,-28.81, 
  보통주수정주가(기말)＜당기＞,,,"4,585","5,880","5,040","4,885", , 
  SPS＜당기＞,954,"1,023","1,000",887,"1,068",, , 
펼치기 EV/EBITDA,,,44.50,47.19,12.83,,-72.82, 
  EV＜당기＞,,,982.1,"1,291.7","1,027.0",, , 
  EBITDA＜당기＞,27.1,34.3,22.1,27.4,80.1,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
