항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,9,14,90,-340,-20,, , 
  당기순이익(지배)＜당기＞,2.4,4.6,30.4,-116.6,-7.2,, , 
  보통주수정평균발행주식수＜당기＞,"24,778,020","25,092,433","25,379,832","26,783,316","34,514,422","36,454,408", , 
  우선주수정평균발행주식수＜당기＞,"2,816,684","6,655,128","8,311,431","7,481,704","687,574",0, , 
펼치기 BPS,265,281,139,-99,733,, , 
  자본총계(지배)＜당기＞,83.6,90.0,47.3,-34.3,267.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"24,852,688","25,379,833","25,379,833","28,044,846","36,454,408","36,454,408", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"6,655,128","6,655,128","8,687,228","6,401,115",0,0, , 
펼치기 CPS,41,53,77,23,31,, , 
  영업활동현금흐름＜당기＞,11.3,16.9,25.9,8.0,10.8,, , 
  보통주수정평균발행주식수＜당기＞,"24,778,020","25,092,433","25,379,832","26,783,316","34,514,422","36,454,408", , 
  우선주수정평균발행주식수＜당기＞,"2,816,684","6,655,128","8,311,431","7,481,704","687,574",0, , 
펼치기 SPS,289,323,343,351,503,, , 
  매출액＜당기＞,79.8,102.6,115.5,120.2,177.2,, , 
  보통주수정평균발행주식수＜당기＞,"24,778,020","25,092,433","25,379,832","26,783,316","34,514,422","36,454,408", , 
  우선주수정평균발행주식수＜당기＞,"2,816,684","6,655,128","8,311,431","7,481,704","687,574",0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,030","1,890", , 
  EPS＜당기＞,9,14,90,-340,-20,, , 
펼치기 PBR,,,,,2.77,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,030","1,890", , 
  BPS＜당기＞,265,281,139,-99,733,, , 
펼치기 PCR,,,,,66.04,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,030","1,890", , 
  CPS＜당기＞,41,53,77,23,31,, , 
펼치기 PSR,,,,,4.03,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,030","1,890", , 
  SPS＜당기＞,289,323,343,351,503,, , 
펼치기 EV/EBITDA,,,,,23.39,, , 
  EV＜당기＞,,,,,683.3,, , 
  EBITDA＜당기＞,14.5,11.2,37.3,32.2,29.2,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,0.00,0.00,0.00,,, , 
  현금배당성향(%),,0.00,0.00,0.00,,, , 
