항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,251,327,463,720,689,,-4, 
  당기순이익(지배)＜당기＞,35.9,46.7,66.2,102.9,98.5,, , 
  보통주수정평균발행주식수＜당기＞,"14,300,000","14,300,000","14,300,000","14,300,000","14,300,000","14,300,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,245","1,378","1,622","2,100","2,380",,13, 
  자본총계(지배)＜당기＞,173.1,191.6,225.5,291.9,331.1,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"13,901,266","13,901,266","13,901,266","13,901,266","13,911,616","13,911,616", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,253,580,516,242,760,,214, 
  영업활동현금흐름＜당기＞,36.2,83.0,73.8,34.6,108.7,, , 
  보통주수정평균발행주식수＜당기＞,"14,300,000","14,300,000","14,300,000","14,300,000","14,300,000","14,300,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"6,139","7,239","8,144","9,315","10,155",,9, 
  매출액＜당기＞,877.9,"1,035.1","1,164.6","1,332.1","1,452.2",, , 
  보통주수정평균발행주식수＜당기＞,"14,300,000","14,300,000","14,300,000","14,300,000","14,300,000","14,300,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,12.11,11.60,10.67,8.29,12.35,,48.94, 
  보통주수정주가(기말)＜당기＞,"3,035","3,790","4,940","5,970","8,510","8,850", , 
  EPS＜당기＞,251,327,463,720,689,, , 
펼치기 PBR,2.44,2.75,3.05,2.84,3.58,,25.76, 
  보통주수정주가(기말)＜당기＞,"3,035","3,790","4,940","5,970","8,510","8,850", , 
  BPS＜당기＞,"1,245","1,378","1,622","2,100","2,380",, , 
펼치기 PCR,12.00,6.53,9.58,24.66,11.20,,-54.60, 
  보통주수정주가(기말)＜당기＞,"3,035","3,790","4,940","5,970","8,510","8,850", , 
  CPS＜당기＞,253,580,516,242,760,, , 
펼치기 PSR,0.49,0.52,0.61,0.64,0.84,,30.75, 
  보통주수정주가(기말)＜당기＞,"3,035","3,790","4,940","5,970","8,510","8,850", , 
  SPS＜당기＞,"6,139","7,239","8,144","9,315","10,155",, , 
펼치기 EV/EBITDA,5.62,5.00,5.23,6.22,7.25,,16.68, 
  EV＜당기＞,328.6,408.5,666.4,985.6,"1,377.5",, , 
  EBITDA＜당기＞,58.5,81.7,127.5,158.6,189.9,, , 
펼치기 DPS,200,220,250,275,300,,9, 
  현금DPS,200,220,250,275,300,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,6.59,5.80,5.06,4.61,3.53,,-1.08, 
  현금배당성향(%),77.55,65.43,52.49,37.14,42.37,,5.23, 
