항목,2017/12,2018/12,2019/12,2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,86,16,120,217,391,454, ,16
  당기순이익(지배)＜당기＞,20.5,3.9,36.6,66.8,122.5,142.7, , 
  보통주수정평균발행주식수＜당기＞,"23,746,200","24,370,653","30,423,558","30,740,187","31,300,357","31,404,782", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,786,"1,472","1,586","1,777","2,081","2,439", ,17
  자본총계(지배)＜당기＞,186.7,447.7,482.5,554.0,647.6,757.0, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"23,746,200","30,421,058","30,421,058","31,180,648","31,121,518","31,038,418", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,41,84,102,127,528,, , 
  영업활동현금흐름＜당기＞,9.6,20.4,31.1,39.0,165.2,110.0, , 
  보통주수정평균발행주식수＜당기＞,"23,746,200","24,370,653","30,423,558","30,740,187","31,300,357","31,404,782", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,949,"1,215","1,073","1,308","1,606","1,952", ,22
  매출액＜당기＞,225.4,296.0,326.5,402.0,502.6,613.0, , 
  보통주수정평균발행주식수＜당기＞,"23,746,200","24,370,653","30,423,558","30,740,187","31,300,357","31,404,782", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,201.78,34.88,21.10,13.80,22.12, ,60.28
  보통주수정주가(기말)＜당기＞,,"3,230","4,200","4,585","5,400","10,050", , 
  EPS＜당기＞,86,16,120,217,391,454, , 
펼치기 PBR,0.00,2.19,2.65,2.58,2.60,4.12, ,58.79
  보통주수정주가(기말)＜당기＞,,"3,230","4,200","4,585","5,400","10,050", , 
  BPS＜당기＞,786,"1,472","1,586","1,777","2,081","2,439", , 
펼치기 PCR,,38.61,41.13,36.10,10.23,, , 
  보통주수정주가(기말)＜당기＞,,"3,230","4,200","4,585","5,400","10,050", , 
  CPS＜당기＞,41,84,102,127,528,, , 
펼치기 PSR,,2.66,3.91,3.51,3.36,5.15, ,53.10
  보통주수정주가(기말)＜당기＞,,"3,230","4,200","4,585","5,400","10,050", , 
  SPS＜당기＞,949,"1,215","1,073","1,308","1,606","1,952", , 
펼치기 EV/EBITDA,,11.89,24.04,15.06,9.49,, , 
  EV＜당기＞,,726.8,"1,184.3","1,288.8","1,463.3","2,981.9", , 
  EBITDA＜당기＞,27.7,61.1,49.3,85.6,154.2,, , 
펼치기 DPS,0,50,50,60,80,, , 
  현금DPS,0,50,50,60,80,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,1.55,1.19,1.31,1.48,0.60, ,-0.88
  현금배당성향(%),0.00,389.89,41.52,28.00,20.33,13.19, ,-7.14
