항목,2017/12,2018/12,2019/12,2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-83,-38,42,66,147,319, ,117
  당기순이익(지배)＜당기＞,-16.9,-10.4,11.3,18.0,40.0,88.0, , 
  보통주수정평균발행주식수＜당기＞,"20,340,687","27,247,982","27,247,982","27,247,982","27,247,982","27,559,637", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"1,738","1,705","1,754","2,517","2,690",, , 
  자본총계(지배)＜당기＞,473.4,464.5,478.0,679.8,726.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"27,247,979","27,247,979","27,247,979","27,009,970","27,009,970","27,456,064", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,58,-102,-476,350,-42,, , 
  영업활동현금흐름＜당기＞,11.7,-27.8,-129.6,95.3,-11.5,, , 
  보통주수정평균발행주식수＜당기＞,"20,340,687","27,247,982","27,247,982","27,247,982","27,247,982","27,559,637", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"2,082",485,"1,476",908,"1,116","2,636", ,136
  매출액＜당기＞,423.4,132.1,402.2,247.3,304.0,726.5, , 
  보통주수정평균발행주식수＜당기＞,"20,340,687","27,247,982","27,247,982","27,247,982","27,247,982","27,559,637", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,N/A,N/A,63.23,99.86,35.55,12.70, ,-64.28
  보통주수정주가(기말)＜당기＞,"2,110","1,868","2,630","6,590","5,220","4,055", , 
  EPS＜당기＞,-83,-38,42,66,147,319, , 
펼치기 PBR,1.21,1.10,1.50,2.62,1.94,, , 
  보통주수정주가(기말)＜당기＞,"2,110","1,868","2,630","6,590","5,220","4,055", , 
  BPS＜당기＞,"1,738","1,705","1,754","2,517","2,690",, , 
펼치기 PCR,36.64,-18.29,-5.53,18.84,-123.39,, , 
  보통주수정주가(기말)＜당기＞,"2,110","1,868","2,630","6,590","5,220","4,055", , 
  CPS＜당기＞,58,-102,-476,350,-42,, , 
펼치기 PSR,1.01,3.85,1.78,7.26,4.68,1.54, ,-67.12
  보통주수정주가(기말)＜당기＞,"2,110","1,868","2,630","6,590","5,220","4,055", , 
  SPS＜당기＞,"2,082",485,"1,476",908,"1,116","2,636", , 
펼치기 EV/EBITDA,798.21,984.07,43.36,58.75,66.20,, , 
  EV＜당기＞,531.2,607.5,939.9,"1,930.1","1,484.9",, , 
  EBITDA＜당기＞,0.7,0.6,21.7,32.9,22.4,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
